wavelength,relint
215.08,2.0
220.073,5.0
227.546,6.0
239.856,8.0
272.165,7.0
299.496,9.0
299.731,8.0
299.964,8.0
300.086,9.0
300.686,10.0
300.921,9.0
302.494,2.0
303.454,2.0
304.574,2.0
305.532,3.0
307.157,2.0
307.695,2.0
308.079,2.0
309.93,2.0
313.602,5.0
314.079,6.0
315.075,7.0
318.052,5.0
320.996,7.0
321.517,8.0
321.534,6.0
322.59,9.0
322.615,6.0
327.467,5.0
328.607,6.0
334.451,10.0
335.021,11.0
335.036,9.0
336.192,12.0
336.214,9.0
346.848,9.0
347.476,11.0
348.76,13.0
362.411,15.0
363.075,17.0
363.097,14.0
364.441,20.0
364.477,14.0
364.499,8.0
367.529,5.0
367.821,6.0
374.835,6.0
375.029,8.0
375.334,9.0
387.048,9.0
387.254,11.0
387.256,11.0
387.578,12.0
387.58,12.0
388.91,6.0
392.348,6.0
393.529,9.0
394.604,6.0
394.89,15.0
395.705,17.0
397.257,8.0
397.371,18.0
409.853,15.0
409.857,15.0
422.673,50.0
424.046,15.0
428.301,24.0
428.936,22.0
429.899,22.0
430.253,25.0
430.774,23.0
431.865,22.0
435.508,20.0
442.544,25.0
443.496,26.0
443.569,25.0
445.478,30.0
445.589,28.0
445.661,20.0
452.694,23.0
457.855,22.0
458.14,23.0
458.147,23.0
458.587,24.0
458.596,24.0
468.527,20.0
487.813,25.0
504.162,23.0
518.885,25.0
526.171,22.0
526.224,23.0
526.424,22.0
526.556,24.0
527.027,25.0
534.947,27.0
551.298,23.0
558.197,25.0
558.876,27.0
559.012,24.0
559.447,26.0
559.849,25.0
560.129,24.0
560.285,24.0
585.745,30.0
610.272,27.0
612.222,29.0
616.129,22.0
616.217,30.0
616.376,22.0
616.644,24.0
616.906,26.0
616.956,28.0
643.907,35.0
644.981,30.0
645.56,22.0
646.257,34.0
647.166,29.0
649.378,32.0
649.965,28.0
657.278,23.0
671.769,30.0
714.815,33.0
720.219,31.0
732.615,33.0
825.667,14.0
833.804,10.0
833.912,12.0
835.239,10.0
835.717,11.0
863.395,10.0
884.261,12.0
890.918,15.0
896.747,12.0
909.91,16.0
910.562,13.0
910.882,12.0
917.114,10.0
941.697,25.0
945.68,10.0
953.488,10.0
954.838,11.0
960.428,10.0
966.365,12.0
966.441,10.0
967.63,14.0
968.867,14.0
970.194,13.0
