wavelength,relint
27.3695,42000.0
27.4461,20000.0
29.6958,190000.0
30.1741,110000.0
30.433,80000.0
30.491,80000.0
35.798,18000000.0
40.3724,2300000.0
40.9954,1200000.0
43.9691,42000.0
49.0549,2900.0
55.2411,4800.0
56.1959,7000.0
56.2607,3600.0
58.0058,2400.0
58.335,2200.0
58.6547,2000.0
58.7354,15000.0
58.9013,3600.0
59.0987,3400.0
59.1584,8000.0
59.3645,700.0
59.6675,5000.0
59.7291,6000.0
60.0852,2800.0
60.6756,1400.0
61.0225,1300.0
61.6581,1000.0
61.8923,600.0
62.4821,3200.0
62.5269,1000.0
62.8663,6000.0
62.9921,700.0
63.1015,1700.0
63.2017,2900.0
63.3325,1600.0
63.3468,900.0
63.3588,9000.0
63.5481,1600.0
63.6318,1600.0
63.6388,800.0
63.6482,600.0
63.6641,500.0
63.7111,1500.0
63.7788,800.0
63.9124,2600.0
64.028,4100.0
64.6343,3300.0
64.8618,1300.0
65.0842,500.0
65.5342,490.0
66.2981,600.0
67.2249,1900.0
67.5424,500.0
67.762,2600.0
67.9845,500.0
68.0049,1600.0
68.2632,3200.0
68.4018,2500.0
68.4659,900.0
68.5408,4600.0
68.8543,800.0
68.9602,3000.0
68.9708,450.0
69.0963,2300.0
69.1136,3000.0
69.1432,480.0
69.2148,800.0
69.3487,3600.0
69.4154,440.0
69.437,800.0
69.4898,2200.0
69.4994,2200.0
69.5219,1400.0
69.6031,1400.0
69.7551,4200.0
69.869,420.0
69.9085,4100.0
69.9715,470.0
69.9891,4100.0
70.139,12000.0
70.4772,1300.0
70.5426,2600.0
70.8521,800.0
70.9802,380.0
71.3856,800.0
71.4628,700.0
71.6136,410.0
71.6654,400.0
71.6876,400.0
71.7283,1200.0
71.7638,400.0
71.7836,1200.0
71.9124,400.0
72.2382,290.0
72.4762,340.0
72.5956,1100.0
72.7656,11000.0
72.8004,1100.0
73.0474,600.0
73.1215,1700.0
73.2244,1700.0
73.2894,6000.0
73.3096,330.0
73.6239,1000.0
73.6693,11000.0
73.6823,600.0
73.8845,1600.0
74.016,240.0
