wavelength,relint
24.941,150.0
25.015,150.0
25.135,150.0
29.655,250.0
29.932,200.0
31.809,200.0
31.839,50.0
32.159,120.0
32.912,250.0
32.939,150.0
33.144,200.0
33.199,250.0
33.253,235.0
33.281,150.0
33.883,200.0
33.979,150.0
34.029,200.0
34.129,200.0
34.146,200.0
34.319,100.0
34.344,200.0
34.393,250.0
34.496,200.0
34.513,215.0
37.474,250.0
43.457,600.0
43.727,100.0
43.777,250.0
43.893,200.0
44.382,750.0
44.502,50.0
45.057,500.0
45.455,50.0
45.698,250.0
46.109,250.0
56.546,150.0
65.6,750.0
66.97,500.0
