wavelength,relint
19.036,200.0
19.046,250.0
19.697,250.0
19.955,300.0
20.051,250.0
25.798,265.0
26.045,165.0
26.777,400.0
27.031,300.0
27.114,200.0
27.227,250.0
27.298,200.0
28.099,400.0
28.498,300.0
32.217,500.0
32.276,250.0
32.322,300.0
32.448,250.0
32.528,250.0
33.094,300.0
33.344,200.0
33.357,200.0
33.455,300.0
33.655,200.0
33.754,200.0
33.806,250.0
34.364,200.0
35.292,450.0
35.625,250.0
37.718,250.0
38.708,200.0
42.5,750.0
55.86,500.0
63.793,400.0
64.312,300.0
64.657,400.0
64.788,250.0
65.155,250.0
65.676,300.0
