wavelength,relint
170.432,4.0
170.9944,1.0
171.0216,1.0
171.2289,3.0
171.2852,0.0
171.6486,4.0
171.7703,1.0
171.8148,2.0
171.9777,6.0
172.1484,1.0
172.2542,3.0
172.3141,4.0
172.6678,3.0
173.1184,6.0
173.5576,2.0
175.7829,3.0
175.8355,1.0
175.8443,0.0
175.8914,0.0
176.17,0.0
176.2666,3.0
176.291,0.0
176.3444,1.0
176.4156,1.0
176.5275,2.0
176.5471,0.0
176.5542,0.0
176.8611,1.0
176.982,1.0
177.5684,1.0
184.19939,24.0
184.79265,52.0
184.8318,0.0
185.1248,2.0
185.13802,174.0
185.1688,1.0
185.38609,19.0
185.43643,42.0
185.5579,324.0
185.5914,25.0
185.62149,50.0
185.74307,36.0
185.78163,40.0
185.8106,0.0
185.92634,50.0
186.10328,41.0
186.1675,1.0
186.23256,135.0
186.3543,2.0
186.41917,35.0
186.43213,26.0
186.53091,309.0
186.5612,1.0
186.60619,186.0
186.61413,26.0
186.6191,1.0
186.68189,50.0
186.92604,141.0
187.0011,1.0
187.03519,41.0
187.18912,34.0
187.23708,191.0
187.30575,148.0
187.3258,112.0
187.4897,1.0
187.51587,20.0
187.61475,21.0
187.64196,78.0
187.71684,50.0
187.81044,16.0
187.88478,45.0
187.93806,39.0
188.01405,52.0
188.13114,112.0
188.2036,0.0
188.36797,16.0
188.37788,49.0
188.39225,66.0
188.4684,0.0
188.51766,11.0
188.59073,41.0
188.77646,251.0
188.83219,100.0
188.98978,55.0
189.17438,24.0
189.68579,23.0
189.92088,18.0
190.33948,42.0
191.74067,21.0
192.422,1.0
193.4535,309.0
193.72683,240.0
194.06603,191.0
194.50912,50.0
194.52756,60.0
194.62277,30.0
194.6839,68.0
194.69878,490.0
194.91425,19.0
194.96071,32.0
195.02269,132.0
195.0646,0.0
195.15706,224.0
195.22684,166.0
195.25885,309.0
195.3005,316.0
195.57021,115.0
195.60344,219.0
195.60511,214.0
195.78427,650.0
195.8569,65.0
195.86085,158.0
195.8733,54.0
196.01439,620.0
196.10463,29.0
196.12457,263.0
196.20252,83.0
196.21107,437.0
196.27332,33.0
196.28835,83.0
196.31042,26.0
196.31217,112.0
196.36336,44.0
196.4055,87.0
196.7127,1.0
197.39162,14.0
197.5177,1.0
199.1044,1.0
199.1255,0.0
199.154,0.0
199.2599,1.0
199.45704,24.0
199.79133,35.0
199.9318,0.0
200.0578,2.0
200.0671,2.0
200.23799,13.0
200.3605,1.0
200.38696,14.0
200.5297,2.0
200.5594,2.0
200.62444,27.0
200.6318,1.0
200.6464,1.0
200.72193,22.0
200.8233,2.0
200.8552,1.0
201.1926,1.0
201.494,2.0
201.5782,0.0
201.65087,16.0
201.7159,0.0
201.9075,0.0
201.9775,1.0
202.1099,1.0
202.1443,0.0
202.19829,22.0
202.2779,1.0
202.3013,0.0
202.4067,1.0
202.4692,0.0
202.54615,20.0
202.5823,1.0
202.6491,0.0
202.8719,1.0
202.9955,1.0
203.1686,2.0
203.4214,3.0
203.9984,0.0
204.7248,1.0
205.8105,1.0
207.2059,0.0
207.75029,18.0
208.41212,890.0
208.5712,0.0
208.7511,78.0
208.98738,9.0
209.03831,117.0
209.36846,560.0
209.54639,16.0
209.81196,14.0
209.89388,58.0
209.96659,3.0
209.9904,6.0
210.07977,251.0
210.23536,282.0
210.29104,39.0
210.30529,115.0
210.3972,6.0
210.626,54.0
210.63947,363.0
210.81937,7.0
210.83027,34.0
210.8959,302.0
211.02353,105.0
211.12322,17.0
211.29687,155.0
211.30871,47.0
211.45995,115.0
211.51699,59.0
211.91365,8.0
212.18687,16.0
212.21784,5.0
212.2799,9.0
212.31244,4.0
212.45014,9.0
212.62105,14.0
212.66093,8.0
212.68164,2.0
212.7474,15.0
212.78644,16.0
213.04075,8.0
213.04404,5.0
213.09658,151.0
213.20171,510.0
213.33134,5.0
213.50994,13.0
213.59605,74.0
213.80026,11.0
213.85924,115.0
213.9698,468.0
213.99344,72.0
214.10858,11.0
214.14717,9.0
214.17181,162.0
214.2146,4.0
214.25662,14.0
214.28316,9.0
214.33692,9.0
214.38964,23.0
214.44485,40.0
214.45681,31.0
214.51895,275.0
214.62821,14.0
214.67205,28.0
214.70454,48.0
214.77883,10.0
214.84031,40.0
214.84928,6.0
214.91786,7.0
214.96294,6.0
215.01847,91.0
215.10023,12.0
215.16953,151.0
215.22487,32.0
215.248007,630.0
215.30065,219.0
215.41244,4.0
215.44454,18.0
215.44689,38.0
215.50197,72.0
215.52429,11.0
215.56139,3.0
215.56472,3.0
215.58144,15.0
215.64301,11.0
215.6495,42.0
215.77944,620.0
215.84743,52.0
215.85342,91.0
215.86294,65.0
215.87348,68.0
215.892,126.0
215.89977,6.0
215.9431,55.0
215.96374,33.0
215.96557,89.0
215.98809,76.0
215.99235,110.0
216.02382,11.0
216.04615,6.0
216.1579,200.0
216.22479,112.0
216.33665,100.0
216.38622,79.0
216.43813,22.0
216.45487,316.0
216.55351,5.0
216.58614,224.0
216.59911,19.0
216.65858,126.0
216.67732,3240.0
216.72761,11.0
216.7386,25.0
216.80565,22.0
216.83776,20.0
216.99436,18.0
217.05298,7.0
217.12338,59.0
217.1297,245.0
217.13702,3.0
217.21423,36.0
217.2225,0.0
217.25847,155.0
217.32136,123.0
217.3469,0.0
217.3706,2.0
217.41429,21.0
217.54989,15.0
217.60233,3.0
217.6228,9.0
217.64006,5.0
217.6677,2.0
217.68401,174.0
217.7697,8.0
217.80806,930.0
217.81185,398.0
217.8805,1.0
218.0869,10.0
218.17186,105.0
218.34664,16.0
218.39797,35.0
218.44601,18.0
218.52138,5.0
218.62496,59.0
218.64868,1290.0
218.68924,398.0
218.71943,930.0
218.91877,4.0
218.93884,10.0
219.07696,9.0
219.0881,4.0
219.12042,162.0
219.18389,1550.0
219.2261,0.0
219.28232,16.0
219.34102,16.0
219.356,3.0
219.60418,910.0
219.7234,5.0
220.0086,0.0
220.03519,214.0
220.03898,331.0
220.04914,9.0
220.07241,363.0
220.11178,52.0
220.4074,0.0
220.644,0.0
220.70684,50.0
221.06883,52.0
221.7585,1.0
221.7743,32.0
222.0915,18.0
222.1317,0.0
222.2071,0.0
222.27632,27.0
222.81715,102.0
222.90732,23.0
223.1101,1.0
223.1213,120.0
223.44327,19.0
224.06297,69.0
224.25699,87.0
224.27807,6.0
224.50734,38.0
224.56526,158.0
224.74607,48.0
224.886,126.0
225.07902,468.0
225.123,0.0
225.18732,79.0
225.58609,115.0
225.67548,14.0
225.92825,56.0
225.95101,2090.0
225.95802,54.0
226.05971,59.0
226.08871,33.0
226.43891,288.0
226.50541,650.0
226.5595,1.0
226.5758,2.0
226.69058,95.0
226.70845,1070.0
226.74694,490.0
226.90987,191.0
227.08624,355.0
227.17828,182.0
227.26167,21.0
227.3892,0.0
227.51914,219.0
227.55968,65.0
227.5757,1.0
227.60257,2450.0
227.71003,102.0
227.7667,132.0
227.77146,39.0
227.878,0.0
227.9153,0.0
227.9937,363.0
228.02099,65.0
228.02331,38.0
228.19931,11.0
228.28643,28.0
228.2922,6.0
228.30872,58.0
228.3304,269.0
228.36551,457.0
228.40855,2240.0
228.6443,1.0
228.72495,2450.0
228.7293,46.0
228.7631,145.0
228.90308,126.0
228.90544,24.0
229.0477,0.0
229.0548,105.0
229.07744,117.0
229.09131,36.0
229.16247,141.0
229.25246,2400.0
229.3848,427.0
229.4107,0.0
229.44079,1380.0
229.55404,18.0
229.69267,389.0
229.7787,3390.0
229.81688,7900.0
229.86602,257.0
229.922,1260.0
229.94489,27.0
230.01417,3390.0
230.02513,28.0
230.05976,72.0
230.16837,780.0
230.34242,1350.0
230.35805,2190.0
230.61738,34.0
230.63821,78.0
230.89988,1950.0
231.31039,2340.0
231.35639,580.0
231.78978,71.0
231.81867,50.0
232.03576,3090.0
232.8855,4.0
232.96404,93.0
232.9742,0.0
233.45239,16.0
233.96452,132.0
234.0024,1.0
234.1595,1.0
234.50274,98.0
234.5494,0.0
234.5563,8.0
235.0413,6.0
235.18864,33.0
235.1901,2.0
235.5909,479.0
236.1942,52.0
236.263,0.0
236.532041,490.0
236.55149,28.0
236.94561,1050.0
237.077365,650.0
237.14303,1550.0
237.36244,5000.0
237.380514,790.0
237.45184,1320.0
237.465304,810.0
237.78842,191.0
237.79946,51.0
237.8616,1.0
238.18361,2690.0
238.55889,59.0
238.72818,68.0
238.80968,35.0
238.9406,1.0
238.99727,2750.0
239.1819,7.0
239.2656,2.0
239.5026,1.0
239.51767,66.0
239.5745,4.0
239.8227,4.0
239.8704,1.0
240.11434,43.0
240.8045,22.0
240.80608,51.0
241.009723,407.0
241.19645,32.0
241.218,0.0
241.2769,1.0
241.7498,3.0
241.90628,52.0
241.94015,36.0
241.98785,42.0
242.03955,112.0
242.3105,129.0
242.6315,4.0
242.71249,100.0
242.8871,2.0
242.98144,135.0
243.01898,62.0
243.10246,132.0
243.30676,60.0
243.3892,0.0
243.81824,710.0
243.91704,126.0
243.93556,85.0
243.96305,48.0
243.97448,1740.0
244.01096,447.0
244.03317,34.0
244.159,0.0
244.25683,437.0
244.2644,3.0
