wavelength,relint
89.9916,1300.0
92.3878,8000.0
92.6204,9000.0
92.6898,4000.0
92.7172,9000.0
92.811,9000.0
92.8469,4000.0
92.9523,7000.0
92.9612,9000.0
93.0023,9000.0
93.0152,5000.0
93.0214,9000.0
93.0554,9000.0
93.1142,2300.0
93.2244,9000.0
93.2707,8000.0
93.4701,1600.0
93.5517,9000.0
93.7651,9000.0
94.0193,2000.0
94.1264,11000.0
94.5086,11000.0
95.0337,10000.0
95.2808,2100.0
96.1117,5000.0
96.3025,3500.0
97.8366,8000.0
98.137,17000.0
98.476,7000.0
98.9661,3000.0
98.9803,18000.0
98.9894,18000.0
99.0004,11000.0
99.0315,2100.0
99.0801,17000.0
99.0856,14000.0
99.1108,1700.0
99.134,2300.0
99.169,2200.0
99.1829,8000.0
99.4348,3000.0
99.441,2200.0
99.4552,14000.0
99.4907,2800.0
99.545,2700.0
99.5497,5000.0
99.7384,5000.0
100.7979,8000.0
100.9608,2800.0
101.1039,10000.0
101.1209,3400.0
101.1228,3000.0
101.1687,7000.0
101.2574,1900.0
101.2619,19000.0
101.7743,20000.0
103.4285,4000.0
104.0933,2600.0
104.7893,2100.0
104.9245,2200.0
105.5258,21000.0
105.6594,2000.0
105.8819,3200.0
105.9562,20000.0
106.0437,20000.0
106.0598,2300.0
106.1705,7000.0
106.1856,10000.0
106.215,8000.0
106.2747,20000.0
106.317,33000.0
106.397,17000.0
106.4226,2700.0
106.4922,2200.0
106.5841,20000.0
106.6137,11000.0
106.6659,8000.0
106.7541,21000.0
106.8156,17000.0
106.8341,32000.0
106.9038,9000.0
107.1248,8000.0
107.1582,21000.0
107.3277,5000.0
107.3383,19000.0
107.4641,2800.0
107.5526,2500.0
107.5633,19000.0
107.649,1400.0
107.6575,12000.0
107.6852,19000.0
107.9878,6000.0
108.1872,19000.0
108.342,18000.0
108.3869,330.0
108.7953,17000.0
108.9687,17000.0
109.1528,10000.0
109.156,15000.0
109.3056,16000.0
109.4677,17000.0
109.5805,8000.0
109.5922,14000.0
109.6603,17000.0
109.6783,14000.0
109.6871,40000.0
109.7019,16000.0
109.7083,900.0
109.7786,11000.0
109.821,10000.0
109.8254,17000.0
109.9046,4000.0
109.9132,17000.0
109.932,1500.0
109.9944,10000.0
110.0017,16000.0
110.043,14000.0
110.0517,15000.0
110.1526,15000.0
110.21,12000.0
110.216,14000.0
110.2383,10000.0
110.3738,2000.0
110.3938,1400.0
110.3988,600.0
110.4247,7000.0
110.4271,7000.0
110.4894,800.0
110.4968,1600.0
110.5349,7000.0
110.5748,14000.0
110.596,2100.0
110.6199,14000.0
110.6522,12000.0
110.7071,3400.0
110.7352,1700.0
110.743,9000.0
110.8192,9000.0
110.8391,1600.0
110.8511,5000.0
110.9072,12000.0
110.9715,12000.0
111.0005,3300.0
111.0283,1600.0
111.0333,10000.0
111.0815,8000.0
111.0935,1100.0
111.1092,6000.0
111.1122,8000.0
111.1553,3200.0
111.1943,2100.0
111.2046,14000.0
111.215,4000.0
111.2207,2100.0
111.2938,3300.0
111.3281,11000.0
111.3336,3600.0
111.3471,1100.0
111.378,2500.0
111.3944,2300.0
111.4305,2100.0
111.5043,10000.0
111.5132,4000.0
111.748,2200.0
111.791,2800.0
111.8113,9000.0
111.8882,8000.0
111.9055,6000.0
111.9197,10000.0
111.937,5000.0
112.0453,14000.0
112.0559,1800.0
112.1967,25000.0
112.412,23000.0
112.4758,14000.0
112.5442,21000.0
112.6417,21000.0
112.6589,21000.0
112.6837,20000.0
112.6952,20000.0
112.7099,17000.0
112.7148,17000.0
112.7474,1700.0
112.7859,18000.0
112.8041,20000.0
112.8153,13000.0
112.8556,2500.0
112.8898,18000.0
112.9303,4000.0
112.9765,7000.0
113.0442,12000.0
113.056,6000.0
113.0871,5000.0
113.1366,1900.0
113.1595,11000.0
113.1628,4000.0
113.1849,16000.0
113.2437,1700.0
113.299,3500.0
113.34,15000.0
113.3662,15000.0
113.3859,5000.0
113.4594,11000.0
113.5303,12000.0
113.5552,3500.0
113.5578,3500.0
113.6408,6000.0
113.6781,3400.0
113.7259,3400.0
113.7684,1400.0
113.8037,4000.0
113.8177,11000.0
113.8941,5000.0
113.9199,5000.0
114.0126,1900.0
114.0406,700.0
114.0785,900.0
114.1067,1100.0
114.117,1100.0
114.1986,1700.0
114.2464,8000.0
114.2759,2800.0
114.312,2800.0
114.315,7000.0
114.322,12000.0
114.3279,7000.0
114.4046,11000.0
114.4268,11000.0
114.4433,9000.0
114.4491,1700.0
114.4566,1900.0
114.4673,6000.0
114.5235,1300.0
114.5476,9000.0
114.5641,8000.0
114.5723,1500.0
114.5814,1700.0
114.6361,10000.0
114.6633,1300.0
114.6696,2600.0
114.683,11000.0
114.6904,1800.0
114.6947,11000.0
114.7244,2000.0
114.7409,5000.0
114.7565,10000.0
114.7776,8000.0
114.7832,8000.0
114.7888,1400.0
114.8067,10000.0
114.8146,2500.0
114.8263,11000.0
114.8263,11000.0
114.8679,10000.0
114.874,5000.0
114.8771,7000.0
114.8813,1400.0
114.8904,8000.0
114.9482,1100.0
114.9581,10000.0
114.9617,1700.0
114.9863,4000.0
115.0265,1900.0
115.0278,10000.0
115.0463,10000.0
115.0517,5000.0
115.1136,11000.0
115.1711,5000.0
115.174,8000.0
115.1845,1900.0
115.2867,6000.0
115.3265,9000.0
115.3413,5000.0
115.3542,5000.0
115.367,800.0
115.3945,8000.0
115.4396,8000.0
115.4603,800.0
115.4817,7000.0
115.5106,1000.0
115.5263,9000.0
115.5521,4000.0
115.5849,1200.0
115.6478,4000.0
115.7056,1500.0
115.763,8000.0
115.7678,6000.0
115.7821,8000.0
115.7853,5000.0
115.8115,4000.0
115.8275,6000.0
115.8497,8000.0
115.8876,2000.0
115.9086,1900.0
115.9331,8000.0
115.9421,1600.0
115.9501,6000.0
115.9909,2000.0
115.9986,7000.0
116.0263,6000.0
116.0526,2000.0
116.181,1500.0
116.1996,1400.0
116.2641,7000.0
116.3164,6000.0
116.3491,1900.0
116.3804,8000.0
116.3914,2000.0
116.4127,3200.0
116.4318,8000.0
116.447,7000.0
116.4866,7000.0
116.5235,6000.0
116.5264,6000.0
