wavelength,relint
61.0111,32000.0
62.3835,80000.0
62.3865,44000.0
67.3835,94000.0
67.5169,28000.0
67.9124,37000.0
67.9456,20000.0
68.0269,27000.0
68.0703,50000.0
68.0858,27000.0
68.211,37000.0
68.43,27000.0
68.4854,36000.0
68.5298,27000.0
68.5454,20000.0
68.5454,20000.0
68.6625,27000.0
68.8523,26000.0
68.8956,19000.0
69.9023,18000.0
69.9464,110000.0
69.9464,110000.0
70.013,25000.0
70.0571,33000.0
70.1024,24000.0
70.1353,60000.0
70.2442,44000.0
70.2442,44000.0
70.2908,80000.0
70.3508,32000.0
70.4504,24000.0
70.4915,43000.0
70.5892,43000.0
70.6432,43000.0
70.7434,32000.0
70.7434,32000.0
70.7808,23000.0
70.9212,23000.0
70.9212,23000.0
70.9411,31000.0
71.0084,77000.0
71.0084,77000.0
71.0084,77000.0
71.5171,17000.0
71.5363,30000.0
71.7033,22000.0
72.242,29000.0
72.259,21000.0
72.52,28000.0
72.5876,28000.0
72.6549,15000.0
72.6632,92000.0
72.7682,50000.0
72.8506,27000.0
72.881,91000.0
72.9353,50000.0
72.9399,27000.0
72.9992,67000.0
73.0881,66000.0
73.0962,49000.0
73.1138,27000.0
73.1437,27000.0
73.1615,49000.0
73.1847,36000.0
73.1912,27000.0
73.2003,49000.0
73.2003,49000.0
73.2422,49000.0
73.2494,20000.0
73.3139,36000.0
73.3303,26000.0
73.3355,26000.0
73.3355,26000.0
73.3414,15000.0
73.3775,36000.0
73.3802,26000.0
73.4298,65000.0
73.4773,14000.0
73.4995,26000.0
73.4995,26000.0
73.5249,26000.0
73.5346,48000.0
73.6417,26000.0
73.6476,26000.0
73.6897,19000.0
73.7018,26000.0
73.7553,26000.0
73.7716,63000.0
73.7716,63000.0
73.7816,35000.0
73.7816,35000.0
73.822,19000.0
73.8665,46000.0
73.8745,46000.0
73.9012,25000.0
73.9266,62000.0
73.9266,62000.0
73.9599,46000.0
73.9727,62000.0
74.0095,25000.0
74.0448,34000.0
74.161,14000.0
74.1817,25000.0
74.2388,45000.0
74.3274,18000.0
