wavelength,relint
50.242,10.0
50.535,11.0
50.669,11.0
52.569,17.0
52.629,15.0
52.657,10.0
52.663,13.0
53.091,10.0
53.178,10.0
53.555,10.0
53.661,14.0
53.674,10.0
53.71,15.0
53.726,13.0
53.779,14.0
53.794,13.0
53.844,10.0
54.42,10.0
54.622,10.0
54.88,10.0
55.032,11.0
55.177,10.0
55.214,13.0
55.274,11.0
55.426,10.0
55.566,10.0
57.288,10.0
57.676,10.0
57.976,10.0
60.753,14.0
60.88,13.0
60.965,10.0
142.573,12.0
143.143,13.0
147.32,12.0
148.953,12.0
149.518,12.0
152.66,13.0
153.026,13.0
153.263,14.0
153.291,13.0
153.386,15.0
153.395,13.0
153.658,14.0
153.829,12.0
154.216,13.0
154.27,14.0
154.64,12.0
155.235,12.0
155.271,12.0
156.246,12.0
156.626,13.0
156.827,14.0
157.018,12.0
157.042,12.0
157.124,12.0
157.72,12.0
157.776,12.0
159.062,12.0
159.151,13.0
159.205,13.0
159.667,12.0
159.801,13.0
160.05,12.0
160.058,13.0
160.167,13.0
160.208,12.0
160.318,13.0
160.373,13.0
160.488,13.0
160.568,13.0
160.597,15.0
160.698,13.0
160.91,17.0
160.983,14.0
161.047,13.0
161.12,13.0
161.364,13.0
161.402,15.0
161.464,13.0
161.5,13.0
161.561,12.0
161.668,16.0
161.768,14.0
161.902,14.0
162.091,12.0
162.116,13.0
162.157,14.0
162.338,13.0
162.353,13.0
162.647,15.0
162.69,14.0
162.854,13.0
163.018,13.0
163.108,17.0
163.208,12.0
163.24,14.0
163.401,13.0
163.807,12.0
163.83,12.0
163.94,14.0
164.004,16.0
164.016,14.0
164.187,15.0
164.288,12.0
164.709,15.0
165.158,15.0
165.29,15.0
165.341,13.0
165.611,13.0
165.665,15.0
165.782,12.0
165.843,12.0
166.01,14.0
166.157,12.0
166.232,13.0
166.252,13.0
166.354,13.0
166.809,13.0
166.961,12.0
167.104,14.0
167.286,12.0
167.368,13.0
167.566,14.0
167.678,12.0
167.712,12.0
168.136,13.0
168.195,12.0
168.769,15.0
169.888,15.0
170.04,12.0
170.493,12.0
170.981,13.0
171.141,15.0
171.276,14.0
171.711,12.0
171.79,14.0
171.816,14.0
171.842,12.0
171.946,14.0
172.271,14.0
172.406,14.0
172.426,12.0
172.563,16.0
176.108,13.0
176.492,12.0
176.736,12.0
179.21,13.0
179.693,13.0
180.532,12.0
182.042,12.0
182.798,13.0
184.024,12.0
186.042,12.0
186.964,12.0
187.423,12.0
