wavelength,relint
7.285,1.0
7.363,2.0
8.243,20.0
8.3457,15.0
10.3566,35.0
10.5208,30.0
11.1713,3.0
11.1791,5.0
11.2017,4.0
11.2096,8.0
11.2375,5.0
11.3793,10.0
11.4024,8.0
11.4111,7.0
11.5353,7.0
11.5996,7.0
11.6408,6.0
11.6803,9.0
11.827,2.0
17.1073,120.0
21.71,10.0
21.8935,5.0
24.1739,30.0
24.4911,20.0
31.1563,2.0
31.3234,4.0
31.7194,5.0
31.8586,2.0
31.9426,0.0
32.989,6.0
33.5294,5.0
33.9838,2.0
34.115,4.0
34.139,4.0
34.8124,1.0
35.2072,4.0
36.926,1.0
37.4605,0.0
37.5773,2.0
37.7443,2.0
37.8629,0.0
38.0079,2.0
60.488,0.0
