wavelength,relint
30.2543,2.0
30.5313,12.0
32.1321,140.0
32.2275,21.0
32.3835,12.0
32.4634,190.0
32.5027,64.0
32.6658,71.0
32.7029,55.0
32.7823,79.0
32.9514,740.0
33.0434,780.0
33.0512,39.0
33.1579,2300.0
33.1656,1500.0
33.1723,1700.0
33.1874,780.0
33.1986,1900.0
33.2074,22.0
33.2135,220.0
33.228,2900.0
33.3297,100.0
33.4045,2300.0
33.4763,510.0
33.4997,1400.0
33.5185,520.0
33.5709,2700.0
33.5853,540.0
33.9235,62.0
33.9871,220.0
34.1192,70.0
34.3295,900.0
34.3446,30.0
34.3824,800.0
34.4022,150.0
34.4106,150.0
34.5236,3000.0
34.8772,1000.0
35.1349,62.0
35.3087,7700.0
35.4679,9300.0
35.4813,5100.0
35.4999,5100.0
35.5196,13000.0
35.537,10000.0
35.5411,690.0
35.5466,1100.0
35.5542,7800.0
35.7029,11000.0
35.7425,11000.0
35.787,8400.0
35.797,390.0
35.8892,230.0
35.9227,5000.0
35.9937,1700.0
36.0434,3100.0
36.0521,4900.0
36.0658,11000.0
36.0827,1800.0
36.0857,2700.0
36.1281,23000.0
36.147,16000.0
36.1486,12000.0
36.1512,5300.0
36.1694,9200.0
36.1823,9200.0
36.1863,7800.0
36.1935,5400.0
36.1972,11000.0
36.2064,9200.0
36.2256,9300.0
36.2376,16000.0
36.2601,16000.0
36.2631,2600.0
36.2806,18000.0
36.2821,4500.0
36.293,18000.0
36.293,18000.0
36.3102,1800.0
36.3332,12000.0
36.3444,5700.0
36.363,4100.0
36.3696,17000.0
36.3696,17000.0
36.376,4200.0
36.3999,2300.0
36.4148,6700.0
36.417,4300.0
36.4202,17000.0
36.428,17000.0
36.4795,21000.0
36.4974,17000.0
36.5338,22000.0
36.5632,22000.0
36.5742,5300.0
36.5855,26000.0
36.5997,22000.0
36.6663,8100.0
36.6764,11000.0
36.689,7100.0
36.7007,14000.0
36.7033,11000.0
36.7168,5500.0
36.7338,18000.0
36.7415,18000.0
36.7453,550.0
36.7852,8300.0
36.7992,6900.0
