wavelength,relint
10.4838,3.0
10.4972,3.0
10.6285,3.0
10.6418,3.0
10.7947,4.0
10.8381,13.0
10.8495,3.0
10.8519,24.0
10.8533,7.0
10.8584,13.0
10.862,7.0
10.9463,9.0
10.9742,4.0
11.0103,4.0
11.0205,4.0
11.0593,4.0
11.1604,26.0
11.1638,14.0
11.1663,4.0
11.1691,4.0
11.1742,46.0
11.1742,46.0
11.1767,7.0
11.1767,7.0
11.1812,4.0
11.1849,14.0
11.203,7.0
11.3861,17.0
11.3964,32.0
11.4356,9.0
11.449,5.0
11.5033,64.0
11.5164,5.0
11.5281,10.0
11.6715,9.0
11.6809,32.0
11.6836,4.0
11.6853,4.0
11.6882,9.0
11.6951,9.0
11.697,57.0
11.6993,57.0
11.7034,5.0
11.7104,98.0
11.7135,33.0
11.7144,18.0
11.7174,18.0
11.7281,18.0
11.731,18.0
11.731,18.0
11.7335,18.0
11.7432,5.0
11.7459,5.0
11.7512,10.0
11.761,5.0
11.9144,42.0
11.9144,42.0
11.924,43.0
11.9273,23.0
11.9422,23.0
11.9435,23.0
11.9482,6.0
11.9524,12.0
11.9541,12.0
11.9561,6.0
11.9587,6.0
11.9623,12.0
11.9686,130.0
11.9686,130.0
11.9692,13.0
11.9715,45.0
11.9785,45.0
11.9813,13.0
11.9846,45.0
11.9896,6.0
11.9978,6.0
12.003,11.0
12.0131,13.0
12.0181,11.0
12.0214,22.0
12.0401,41.0
12.0636,370.0
12.0789,7.0
12.0872,15.0
12.0915,7.0
12.109,53.0
12.109,53.0
12.1183,12.0
12.1304,54.0
12.1331,6.0
12.1408,15.0
12.149,12.0
12.1555,6.0
12.1952,7.0
12.2335,15.0
12.237,13.0
12.2392,15.0
12.252,30.0
12.3029,27.0
12.313,31.0
12.3496,28.0
12.3667,8.0
12.3709,17.0
12.3822,7.0
12.403,110.0
12.4058,9.0
12.412,18.0
12.425,18.0
12.4384,37.0
12.4384,37.0
12.4415,35.0
12.4425,16.0
12.4547,36.0
12.4586,18.0
12.4648,18.0
12.4779,31.0
12.4779,31.0
12.4979,32.0
12.5266,180.0
12.5431,60.0
12.5447,71.0
12.5508,39.0
12.5524,180.0
12.5565,20.0
12.5596,17.0
12.564,10.0
12.5798,18.0
12.5846,10.0
12.5922,34.0
12.6032,130.0
12.6088,9.0
12.6166,41.0
12.6453,140.0
12.6559,230.0
12.6705,19.0
12.6743,9.0
12.6768,19.0
12.6855,120.0
12.6875,10.0
12.6898,10.0
12.6913,38.0
12.6913,38.0
12.7026,210.0
12.7069,20.0
12.7118,750.0
12.7169,23.0
12.723,39.0
12.7258,1100.0
12.7278,39.0
12.7324,350.0
12.7388,520.0
12.7429,350.0
12.7429,350.0
12.7559,780.0
12.7604,40.0
12.7636,1100.0
12.7645,350.0
12.7694,360.0
12.7694,360.0
12.7763,21.0
12.7852,22.0
12.7867,360.0
12.8147,840.0
12.824,49.0
12.8368,79.0
12.8417,14.0
12.8449,23.0
12.8538,11.0
12.8638,140.0
12.8659,150.0
12.8682,740.0
12.8753,450.0
12.8852,46.0
12.9278,30.0
12.933,470.0
12.9579,490.0
