wavelength,relint
9.3469,4.0
9.3616,5.0
9.8371,8.0
9.8548,10.0
10.7868,25.0
10.8077,30.0
11.2252,1.0
11.2472,15.0
11.2486,20.0
11.2704,2.0
11.2932,25.0
11.3081,1.0
11.3315,10.0
11.3463,5.0
11.3763,7.0
11.3861,1.0
11.3963,2.0
11.4295,5.0
11.4564,4.0
11.6196,35.0
11.6442,1.0
11.7197,60.0
11.7254,1.0
11.7661,8.0
11.83,8.0
11.8648,3.0
11.8907,25.0
11.938,15.0
13.0941,150.0
13.124,200.0
13.1255,80.0
16.7486,400.0
16.7656,200.0
16.8002,150.0
16.8024,100.0
16.8172,500.0
16.8545,450.0
16.8929,250.0
18.5213,700.0
18.6601,600.0
18.7237,300.0
19.2004,200.0
19.3967,100.0
19.4662,500.0
19.5972,400.0
19.665,40.0
19.7362,230.0
21.7691,300.0
21.8564,60.0
22.4305,500.0
23.1097,260.0
23.1884,200.0
23.2876,20.0
