wavelength,relint
7.7865,8.0
7.8769,4.0
9.4012,35.0
9.5338,1.0
9.5374,15.0
9.6122,30.0
9.6788,2.0
9.7122,25.0
9.7591,0.0
9.7838,20.0
17.058,10.0
17.4534,90.0
17.5266,50.0
17.5474,30.0
17.7243,80.0
18.0407,90.0
18.231,30.0
18.4542,60.0
19.0044,50.0
23.4356,15.0
25.638,10.0
25.7262,45.0
31.7043,0.0
31.8599,3.0
31.8599,3.0
31.9936,2.0
32.1766,5.0
32.1766,5.0
32.4726,5.0
34.5723,10.0
35.4824,0.0
35.8414,4.0
35.8867,0.0
36.0833,1.0
36.1409,1.0
36.2547,2.0
36.4589,0.0
36.5144,0.0
36.5543,1.0
36.6667,1.0
