wavelength,relint
1.73,5.0
1.7555,7.0
1.7593,19.0
1.762,19.0
1.788,11.0
1.7917,7.0
4.1559,1.0
4.1663,3.0
4.1903,4.0
5.0062,0.0
5.0085,0.0
5.012,1.0
5.2911,3.0
5.5635,1.0
5.5793,2.0
5.5815,0.0
5.62,3.0
5.6236,0.0
6.537,0.0
6.5612,1.0
6.6238,1.0
6.9945,2.0
6.9987,3.0
7.0054,4.0
20.8034,60.0
22.022,1.0
22.4754,90.0
22.622,1.0
22.7206,220.0
22.7734,140.0
22.9744,60.0
23.0463,1.0
23.147,2.0
23.168,2.0
23.187,2.0
23.346,2.0
23.3865,290.0
23.4782,60.0
23.5638,4.0
23.8708,140.0
24.081,3.0
24.1066,100.0
24.21,200.0
24.262,1.0
24.3235,3.0
24.3794,390.0
25.7127,210.0
26.3685,5.0
26.6377,2.0
26.7303,1.0
27.127,2.0
27.27,1.0
28.4164,1000.0
29.0239,4.0
29.2275,220.0
30.2334,140.0
30.4894,400.0
30.515,1.0
30.773,220.0
31.2556,70.0
31.499,3.0
31.5559,120.0
31.7597,220.0
31.9047,180.0
31.97,4.0
32.1771,310.0
32.4975,180.0
32.7024,200.0
32.994,4.0
33.1083,170.0
33.2854,370.0
37.2798,440.0
38.7086,280.0
38.954,1.0
40.0851,190.0
40.248,1.0
43.498,2.0
48.1493,260.0
53.6418,330.0
