wavelength,relint
91.8125,5600.0
91.9342,6100.0
92.0947,7400.0
92.3148,12000.0
92.6249,11000.0
93.0751,5600.0
93.7814,19000.0
94.9742,33000.0
97.2517,83000.0
102.5728,250000.0
121.56701,840000.0
365.665,700.0
365.725,700.0
365.865,700.0
365.941,700.0
366.127,800.0
366.608,900.0
366.773,1000.0
366.945,1300.0
367.381,1300.0
367.6376,1400.0
367.937,1700.0
368.2823,1700.0
368.6831,2000.0
369.1551,2300.0
369.7157,2300.0
370.3859,2800.0
371.1978,3300.0
372.1946,5000.0
373.4369,6000.0
375.0151,8000.0
377.0633,9000.0
379.7909,17000.0
383.5397,30000.0
388.9064,70000.0
397.0075,30000.0
410.1734,70000.0
434.0472,90000.0
486.135,180000.0
656.279,500000.0
824.999,90.0
825.229,90.0
825.499,90.0
825.789,110.0
826.089,110.0
826.428,110.0
826.794,110.0
827.194,140.0
827.632,140.0
828.113,140.0
828.642,140.0
829.23,170.0
829.883,210.0
830.61,250.0
831.426,290.0
832.342,290.0
833.378,370.0
834.554,500.0
835.9,500.0
837.448,600.0
839.24,700.0
841.332,700.0
843.795,700.0
846.726,700.0
859.839,2300.0
875.046,2200.0
