wavelength,relint
106.68,8.0
125.0567,200.0
125.9245,11.0
126.882,300.0
130.7749,6.0
140.27,30.0
143.553,14.0
177.52,2.0
183.257,6.0
220.058,2.0
220.826,0.0
221.338,3.0
223.094,0.0
223.157,6.0
224.757,6.0
225.78,0.0
230.047,0.0
230.2059,30.0
232.3197,20.0
234.055,6.0
234.543,200.0
235.241,30.0
237.483,1.0
237.8324,4000.0
238.008,30.0
239.776,1.0
239.776,1.0
239.935,70.0
239.9727,30.0
240.0493,14.0
244.103,6.0
244.6895,30.0
246.4057,20.0
247.865,1.5
247.865,1.5
248.2001,300.0
248.2716,90.0
248.3815,170.0
252.478,1.0
253.4772,2000.0
253.6521,900000.0
254.924,0.0
256.202,0.0
256.3855,40.0
257.6285,100.0
257.8912,6.0
257.958,0.0
259.341,1.0
260.243,0.0
260.243,0.0
260.243,0.0
260.473,0.0
262.5192,20.0
263.895,0.0
263.895,0.0
263.895,0.0
263.978,6.0
264.248,0.0
264.275,1.0
264.275,1.0
265.2039,1600.0
265.369,6000.0
265.5134,400.0
267.4908,6.0
269.73,1.0
269.73,1.0
269.73,1.0
269.8828,200.0
269.9376,100.0
270.35,0.0
275.2777,400.0
275.9705,10.0
279.995,1.0
279.995,1.0
279.995,1.0
280.3466,180.0
280.4434,40.0
280.5344,3.0
280.6773,3.0
285.6935,20.0
289.3601,800.0
292.5414,70.0
296.7283,3000.0
296.752,1.0
300.714,3.0
301.148,3.0
301.148,3.0
302.1504,1200.0
302.3471,300.0
302.5606,30.0
302.749,60.0
312.5674,4000.0
313.1555,3000.0
313.1844,4000.0
334.1484,700.0
347.716,0.0
352.17,0.0
354.346,60.0
358.885,0.0
359.148,1.0
365.0158,9000.0
365.4842,3000.0
366.2887,500.0
366.3284,2000.0
369.779,0.0
370.1442,50.0
370.236,1.0
370.41655,9.0
379.0,80.0
380.16583,50.0
381.58,1.0
382.04,50.0
386.085,30.0
389.386,1.0
390.1868,30.0
390.3638,0.5
390.6371,40.0
398.392,2.0
402.595,4.0
404.6565,12000.0
407.7837,1000.0
410.8054,70.0
414.0,0.0
431.405,1.0
433.92232,50.0
434.3634,1.3
434.74945,150.0
435.8335,12000.0
488.2999,6.0
491.6068,20.0
496.01,100.0
497.037,6.0
498.064,6.0
502.56,3.0
504.58,2.0
510.2705,30.0
512.0637,70.0
513.794,30.0
521.89,2.0
529.074,30.0
531.6776,6.0
535.4034,130.0
536.55,12.0
538.4626,50.0
540.48,3.0
546.075,6000.0
554.9634,50.0
567.581,600.0
576.961,1000.0
578.969,30.0
579.067,900.0
580.3782,400.0
581.83,2.0
585.9254,130.0
587.1975,30.0
589.02,12.0
607.264,30.0
612.327,3.0
623.436,50.0
670.16,2.0
671.634,600.0
672.11,5.0
672.52,1.0
674.1,0.0
674.71,2.0
675.09,2.0
677.32,1.0
678.46,4.0
681.16,2.0
682.7,5.0
685.29,0.0
686.1,3.0
687.07,4.0
688.04,4.0
690.746,1000.0
691.56,5.0
692.43,3.0
693.4,1.0
694.41,4.0
695.07,5.0
700.92,4.0
702.2,0.0
704.57,8.0
708.1901,1000.0
709.186,800.0
710.13,2.0
712.0,2.0
712.56,6.0
712.56,6.0
712.56,6.0
713.5,4.0
716.22,5.0
716.9,2.0
717.06,0.0
717.78,10.0
719.09,3.0
719.35,4.0
720.91,6.0
720.91,6.0
723.94,3.0
724.57,3.0
726.91,5.0
726.91,5.0
727.07,5.0
729.49,7.0
730.17,4.0
731.71,4.0
733.3,3.0
734.81,8.0
737.15,10.0
737.45,4.0
741.22,4.0
745.39,8.0
745.39,8.0
745.67,3.0
746.13,2.0
752.01,9.0
753.39,0.0
754.29,4.0
755.21,7.0
760.21,7.0
760.21,7.0
760.59,4.0
761.55,0.0
762.08,0.0
763.52,0.0
764.64,3.0
766.69,4.0
767.4,5.0
767.73,3.0
768.52,1.0
771.87,2.0
772.02,1.0
772.8825,30.0
773.26,5.0
773.47,0.0
779.52,1.0
781.39,1.0
782.07,8.0
782.22,1.0
782.6,4.0
789.91,0.0
792.98,3.0
793.69,1.0
796.86,0.0
796.86,0.0
797.33,1.0
797.91,7.0
799.1,0.0
799.86,0.0
800.71,1.0
801.33,0.0
801.79,1.0
802.23,6.0
805.0,1.0
805.41,2.0
805.82,1.0
805.84,1.0
807.07,5.0
808.04,0.0
811.31,4.0
811.31,4.0
814.54,2.0
815.31,3.0
815.36,4.0
816.34,10.0
816.64,8.0
817.28,9.0
817.28,9.0
817.72,0.0
818.14,0.0
818.14,0.0
818.92,3.0
819.56,10.0
819.56,10.0
819.74,2.0
820.06,8.0
820.53,2.0
821.42,3.0
822.7,0.0
823.18,0.0
823.84,4.0
825.07,4.0
