wavelength,relint
78.2494,300.0
78.7757,150.0
80.2469,250.0
82.1329,15000.0
89.3085,200000.0
89.3287,2000.0
91.5819,120000.0
92.3377,350.0
94.0736,25000.0
94.263,200000.0
96.2711,250000.0
96.9142,250000.0
102.2965,50.0
102.757,100.0
102.9908,6000.0
103.3737,25.0
103.4691,20.0
103.9631,200000.0
105.296,150.0
106.278,200000.0
107.0369,120.0
107.4416,12.0
108.3646,500.0
109.6804,40.0
110.5878,50.0
112.2335,8.0
112.8046,40.0
113.77,15.0
114.1042,15.0
115.6795,90.0
116.0382,900.0
116.2197,5.0
120.3706,50.0
123.3433,60.0
125.7404,15.0
127.8444,40.0
128.4912,40.0
129.4665,75.0
130.0374,15.0
130.4429,40.0
130.7928,1200.0
130.8153,150.0
130.9135,130.0
131.3964,15.0
132.1713,2000.0
133.1737,2000.0
134.724,100.0
134.7775,120.0
134.9689,50.0
135.0268,4000.0
135.2186,5.0
135.2496,20.0
135.4289,400.0
135.7276,120.0
135.9203,90.0
135.9932,20.0
136.1263,6000.0
136.8194,12.0
137.2573,1200.0
137.9543,15.0
138.2203,300.0
138.9812,60.0
140.0461,2000.0
140.4534,800.0
140.694,50.0
141.442,45000.0
141.7005,15000.0
141.9393,150.0
142.9992,150.0
144.6961,80.0
145.9482,20.0
147.4029,40.0
147.7776,3500.0
148.6563,5.0
149.1545,40.0
149.6997,150.0
150.9135,35.0
151.1622,250.0
152.7501,125.0
153.0298,800.0
153.3589,125.0
153.914,800.0
154.191,350.0
154.5184,125.0
156.1149,20.0
156.6602,10.0
157.7621,50.0
158.1748,250.0
158.4674,125.0
158.9581,100.0
159.1451,10.0
159.3932,60.0
159.6904,25.0
159.9601,500.0
160.1541,400.0
160.5311,400.0
161.1763,60.0
161.4083,300.0
161.7703,200.0
161.9279,200.0
162.1549,50.0
162.2141,200.0
162.3874,2000.0
163.4094,150.0
163.5801,170.0
163.8723,30.0
164.0443,200.0
164.1657,200.0
164.331,300.0
164.4514,500.0
164.9662,1500.0
165.3609,3.0
165.5438,500.0
166.385,25.0
166.709,30.0
167.2537,40000.0
167.4378,10.0
167.5581,2.0
167.5809,4500.0
168.8728,5.0
169.5114,200.0
170.2612,30.0
170.3527,20.0
170.5433,200.0
170.7119,1500.0
170.8806,10.0
171.1738,600.0
171.2874,30.0
171.8416,12.0
173.1823,700.0
175.4112,30.0
178.7598,5.0
179.3921,500.0
179.865,5000.0
179.8934,500.0
