wavelength,relint
62.144,3.0
67.968,2.0
87.859,2.0
88.648,1.0
98.889,1.0
100.929,2.0
106.803,5.0
116.195,2.0
168.14,9.0
175.975,15.0
189.477,1.0
231.415,7.0
238.055,4.0
243.165,8.0
248.056,5.0
248.45,7.0
261.292,2.0
261.797,4.0
267.049,3.0
272.443,70.0
276.922,6.0
284.476,3.0
309.005,15.0
328.302,5.0
331.228,12.0
338.901,8.0
345.077,5.0
350.035,3.0
353.888,4.0
355.724,5.0
380.351,15.0
412.207,70.0
414.034,10.0
421.674,100.0
447.058,15.0
455.284,12.0
479.701,50.0
486.985,10.0
497.357,80.0
521.082,30.0
569.571,6.0
622.035,25.0
641.898,35.0
650.138,40.0
658.426,10.0
661.012,6.0
670.929,30.0
751.746,12.0
780.81,7.0
794.675,25.0
798.451,50.0
815.164,5.0
