wavelength,relint
255.325,4.0
255.7226,0.0
256.0941,0.0
256.2259,1.0
256.4937,1.0
257.0908,0.0
257.2248,1.0
257.4945,2.0
257.7888,0.0
258.0587,1.0
258.4216,1.0
258.5558,2.0
258.8285,3.0
259.1891,0.0
259.3231,1.0
259.5973,2.0
260.2495,2.0
260.3854,4.0
260.6621,5.0
261.3357,1.0
261.4726,2.0
261.7513,3.0
262.8664,3.0
263.0053,6.0
263.2873,8.0
264.4801,2.0
264.6206,3.0
264.9062,4.0
266.8124,6.0
266.9553,8.0
267.246,10.0
269.3723,3.0
269.5181,5.0
269.8145,6.0
273.1993,8.0
273.3493,10.0
273.6542,12.0
276.5222,5.0
276.8339,7.0
277.669,18.0
277.827,18.0
277.9831,20.0
277.9831,20.0
278.1288,8.0
278.1416,18.0
278.2972,18.0
280.9761,3.0
281.1781,1.0
284.6716,12.0
284.8342,14.0
285.166,16.0
290.2923,2.0
290.636,4.0
293.6739,10.0
293.8473,12.0
294.1995,13.0
309.1065,20.0
309.2984,22.0
309.689,24.0
319.7625,2.0
320.1796,3.0
332.9919,17.0
333.2146,19.0
333.6674,20.0
382.93549,36.0
383.23037,38.0
383.82918,40.0
384.8914,1.0
385.396,2.0
385.4965,1.0
385.886,2.0
387.8306,3.0
389.0241,1.0
389.812,1.0
390.3859,4.0
393.84,6.0
398.4212,1.0
398.67533,8.0
405.4689,2.0
405.75052,10.0
407.5059,3.0
408.1833,2.0
416.5101,4.0
416.72712,15.0
435.19056,20.0
435.4529,6.0
438.0375,6.0
462.1299,3.0
470.29909,30.0
473.00285,10.0
516.73216,42.0
517.26843,44.0
518.36042,45.0
552.84047,40.0
571.1088,30.0
578.5312,5.0
578.556,4.0
631.8716,10.0
631.9236,9.0
631.9493,7.0
663.0834,2.0
689.4898,4.0
696.5404,6.0
706.0409,8.0
719.3172,10.0
729.106,10.0
738.7004,5.0
738.7685,12.0
765.7603,20.0
765.9152,19.0
765.9902,17.0
769.0165,8.0
769.155,15.0
772.2614,1.0
772.2614,1.0
772.2614,1.0
774.6343,1.0
775.9297,1.0
781.1135,3.0
781.1135,3.0
781.1135,3.0
788.1667,2.0
793.0806,7.0
793.0806,7.0
793.0806,7.0
794.707,2.0
795.339,3.0
804.9854,5.0
805.4232,7.0
809.8724,10.0
809.8724,10.0
809.8724,10.0
815.4644,1.0
815.9132,2.0
820.9839,10.0
821.3034,20.0
830.3313,7.0
830.5596,9.0
831.0264,10.0
834.612,15.0
834.612,15.0
834.612,15.0
846.6483,2.0
846.8845,5.0
847.3694,7.0
870.714,5.0
871.0175,10.0
871.2689,12.0
871.7825,13.0
873.6021,17.0
873.6021,17.0
873.6021,17.0
880.6757,50.0
892.3569,20.0
898.9026,7.0
899.1692,9.0
899.7156,10.0
901.601,6.0
924.6499,12.0
925.5778,30.0
925.974,8.0
927.344,9.0
941.4964,25.0
941.4964,25.0
941.4964,25.0
942.9814,17.0
943.2764,19.0
943.8783,20.0
950.2454,8.0
950.3108,7.0
950.3433,5.0
964.953,28.0
966.554,15.0
998.32,15.0
998.6475,17.0
999.3209,18.0
