wavelength,relint
23.301,4.0
23.58,1.0
23.81,7.0
23.81,7.0
24.655,6.0
24.655,6.0
24.766,1.0
27.72,1.0
27.72,1.0
124.8511,6.0
124.9932,8.0
127.1243,8.0
127.1943,9.0
127.2725,8.0
127.3427,11.0
130.6711,11.0
130.7877,12.0
130.8282,12.0
130.9439,14.0
136.5545,14.0
136.726,15.0
136.7704,15.0
136.9425,18.0
147.6004,20.0
147.8013,25.0
148.089,20.0
148.2902,30.0
173.4845,40.0
173.7618,50.0
175.0654,40.0
175.3456,50.0
232.9578,3.0
232.9578,3.0
244.959,6.0
244.959,6.0
266.0755,8.0
266.0817,8.0
279.0776,9.0
279.7998,10.0
292.8634,9.0
293.6509,10.0
296.802,2.0
296.9145,1.0
297.1839,2.0
310.4722,9.0
310.4809,8.0
316.5878,3.0
316.8951,6.0
317.2706,6.0
317.5783,7.0
353.4972,7.0
353.8813,8.0
354.9516,7.0
355.3366,8.0
361.3781,4.0
361.5583,3.0
384.8209,8.0
385.0385,7.0
419.3482,2.0
419.3482,2.0
424.2445,3.0
424.2543,2.0
433.1945,4.0
433.1945,4.0
438.4637,9.0
439.0564,10.0
442.7994,8.0
443.399,9.0
443.6486,5.0
443.6598,4.0
448.113,14.0
448.1327,13.0
453.4291,6.0
453.4291,6.0
463.0878,2.0
463.1405,1.0
473.9588,6.0
473.9712,5.0
485.1082,7.0
485.1082,7.0
486.8845,2.0
486.8845,2.0
506.8937,4.0
506.9802,3.0
526.4215,8.0
526.4368,7.0
540.1543,9.0
540.1543,9.0
543.4039,4.0
543.4039,4.0
545.1259,1.0
546.0019,1.0
546.4136,2.0
591.6429,7.0
591.8158,6.0
592.3366,3.0
592.8233,4.0
593.8629,3.0
594.3499,4.0
634.6737,10.0
634.6962,9.0
654.5973,11.0
654.5973,11.0
662.044,5.0
662.0569,6.0
678.1451,7.0
678.7851,8.0
681.286,7.0
681.927,8.0
716.6676,2.0
716.6676,2.0
758.0764,4.0
758.0764,4.0
758.9558,3.0
778.65,5.0
779.0978,4.0
787.7051,12.0
789.6368,13.0
811.522,9.0
812.0434,8.0
821.3989,10.0
822.2924,7.0
822.2924,7.0
823.3194,7.0
823.4639,11.0
873.499,10.0
874.5657,11.0
882.4323,10.0
883.5082,11.0
921.8248,14.0
924.4266,13.0
932.7545,10.0
932.7545,10.0
934.0544,10.0
963.1888,12.0
963.2435,11.0
