wavelength,relint
72.1592,2.0
72.5347,3.0
72.8337,5.0
73.2625,5.0
73.4441,8.0
73.6563,6.0
73.9276,7.0
74.1932,5.0
74.4342,7.0
75.0745,4.0
75.1121,7.0
75.1207,7.0
75.3247,4.0
75.6808,3.0
76.0981,3.0
76.2756,4.0
76.5655,5.0
82.1369,2.0
82.3788,3.0
86.5935,2.0
87.172,7.0
87.358,5.0
87.6312,3.0
87.8847,3.0
88.0107,3.0
88.6158,3.0
88.9888,5.0
89.4744,3.0
89.5324,4.0
89.664,2.0
89.8207,4.0
90.2923,3.0
90.973,3.0
122.9389,2.0
126.3375,3.0
127.1784,1.0
127.4831,10.0
131.0271,1.0
131.072,1.0
131.8078,4.0
132.0022,2.0
133.5951,1.0
135.0156,4.0
137.87,7.0
137.8891,1.0
138.9504,2.0
139.1271,12.0
139.3391,15.0
140.517,9.0
140.788,7.0
142.1538,5.0
142.2118,3.0
143.1136,10.0
143.555,7.0
143.977,2.0
144.3738,8.0
144.6254,7.0
144.726,6.0
145.8172,5.0
146.2305,5.0
146.7188,4.0
147.4898,2.0
147.7416,1.0
148.6624,4.0
149.3097,4.0
157.2712,16.0
158.6237,12.0
159.236,8.0
162.6093,2.0
163.5946,2.0
164.2826,5.0
164.8822,2.0
165.2218,4.0
165.9244,4.0
166.3287,2.0
167.571,1.0
167.947,2.0
168.7091,13.0
169.7282,13.0
170.3108,3.0
170.3731,5.0
170.4368,2.0
171.4783,4.0
172.2041,10.0
173.0733,7.0
173.0778,3.0
173.1786,5.0
173.8835,22.0
174.3947,2.0
174.5009,1.0
174.7561,12.0
174.8932,18.0
175.7176,2.0
175.7888,5.0
177.2982,15.0
177.3959,1.0
177.5942,2.0
178.3253,20.0
178.7927,4.0
179.1375,5.0
179.3207,2.0
179.4582,14.0
180.0662,15.0
180.3087,2.0
181.9954,1.0
182.0421,5.0
182.0896,1.0
182.675,1.0
182.8974,1.0
183.8336,4.0
183.9878,3.0
184.6121,3.0
184.6707,3.0
184.7561,1.0
184.9591,1.0
185.006,3.0
185.4139,2.0
185.8186,13.0
185.8451,3.0
186.5388,0.0
186.5636,4.0
186.8225,7.0
187.2956,2.0
187.3268,0.0
187.9492,12.0
188.2308,3.0
188.6764,1.0
188.7308,4.0
189.038,7.0
189.197,3.0
189.6304,5.0
189.7226,3.0
190.0043,5.0
190.136,2.0
190.1572,5.0
190.1572,5.0
190.85,10.0
191.8777,5.0
192.1374,1.0
192.254,1.0
192.2788,0.0
192.3042,5.0
192.3896,12.0
192.4479,6.0
192.8198,1.0
192.8424,6.0
192.8811,2.0
192.908,0.0
193.0374,3.0
193.0672,13.0
193.3563,7.0
193.7539,0.0
193.7843,11.0
193.8249,3.0
193.8936,3.0
194.15,4.0
194.15,4.0
194.2036,2.0
195.4831,3.0
196.2145,3.0
197.1514,2.0
197.4737,4.0
197.7554,8.0
197.9327,9.0
198.5173,4.0
199.3759,3.0
199.4089,2.0
200.2917,2.0
200.486,6.0
200.7623,1.0
200.7906,0.0
200.8771,2.0
201.3546,0.0
201.3838,1.0
201.6752,1.0
201.7927,0.0
201.9217,0.0
202.2404,1.0
202.398,1.0
202.4285,2.0
203.2923,2.0
203.3272,0.0
203.9553,15.0
205.5491,15.0
206.4902,25.0
207.4298,1.0
208.5891,15.0
209.1963,20.0
209.4207,2.0
209.7936,13.0
211.2773,15.0
213.4054,16.0
217.7694,20.0
227.3414,2.0
231.8125,2.0
239.5149,20.0
246.7751,15.0
249.0534,10.0
251.8635,1.0
252.919,10.0
261.8011,7.0
289.3221,2.0
290.5419,1.0
291.3657,1.0
291.9351,1.0
294.3707,4.0
295.0773,2.0
296.0453,2.0
296.6338,4.0
299.971,1.0
308.0208,1.0
312.638,9.0
315.4336,8.0
315.6506,2.0
316.7251,2.0
320.6948,2.0
321.3845,3.0
329.905,12.0
330.6392,13.0
332.106,8.0
333.5905,12.0
333.619,5.0
334.2577,11.0
334.4899,2.0
335.3729,7.0
336.1412,12.0
338.1236,10.0
338.2901,11.0
338.7368,11.0
339.0577,2.0
339.9188,9.0
342.7794,1.0
343.4236,1.0
343.8623,1.0
344.4409,8.0
346.7912,8.0
347.3424,3.0
349.7994,7.0
351.5602,8.0
355.1638,4.0
355.2933,4.0
356.8385,4.0
357.8273,1.0
358.8694,1.0
360.1288,4.0
364.132,1.0
365.404,3.0
370.393,4.0
370.6745,10.0
370.8609,1.0
371.9838,4.0
374.503,7.0
375.3714,3.0
375.5606,1.0
376.4539,8.0
377.3572,3.0
380.8073,1.0
397.5738,2.0
400.1345,2.0
400.2304,1.0
403.8255,5.0
403.9135,3.0
405.648,1.0
408.2939,6.0
409.4375,5.0
411.1992,6.0
411.2835,3.0
414.0688,3.0
414.7487,1.0
415.9041,1.0
423.8916,2.0
423.9468,7.0
427.5201,1.0
429.6355,1.0
435.8138,2.0
435.8979,3.0
442.3182,2.0
442.4071,2.0
452.2871,1.0
452.6223,9.0
458.62,4.0
459.6916,9.0
463.2531,7.0
467.3303,8.0
469.0361,2.0
472.0936,5.0
472.3204,5.0
480.2601,7.0
482.1516,6.0
485.0385,6.0
487.8729,4.0
488.904,1.0
491.5349,7.0
491.6002,10.0
496.0409,9.0
497.0511,7.0
498.1452,8.0
499.7038,6.0
500.7638,3.0
502.3668,7.0
522.0329,4.0
522.4593,6.0
528.6389,3.0
530.5206,3.0
551.3255,1.0
562.6406,4.0
573.4082,1.0
583.982,10.0
594.5873,1.0
598.737,2.0
609.2912,4.0
612.7392,6.0
615.0082,4.0
620.844,6.0
624.4024,4.0
625.675,15.0
627.025,7.0
640.6619,8.0
641.7036,1.0
642.1224,4.0
651.1429,2.0
705.6876,3.0
742.9846,3.0
