wavelength,relint
26.9282,2.0
29.53951,5.0
71.4962,2.0
71.6177,1.0
73.7724,3.0
74.1578,2.0
80.0409,4.0
80.3072,2.0
80.9975,2.0
81.1276,4.0
81.4873,3.0
84.0366,2.0
84.2087,3.0
85.2232,2.0
85.4407,4.0
85.7289,4.0
86.1991,1.0
86.3698,2.0
86.5722,3.0
86.6735,4.0
87.7486,2.0
89.0354,2.0
89.0604,2.0
89.1006,2.0
89.2218,2.0
89.3869,2.0
90.2812,3.0
91.1001,1.0
91.9025,4.0
92.9774,3.0
93.6288,2.0
94.5342,1.0
97.115,3.0
97.3541,3.0
97.616,1.0
97.6258,2.0
97.8472,1.0
97.9001,3.0
98.1192,2.0
98.1192,2.0
98.2012,2.0
98.4855,4.0
98.737,4.0
99.451,1.0
99.763,2.0
99.866,4.0
99.899,1.0
99.926,4.0
100.009,1.0
100.102,3.0
100.1177,4.0
100.1688,5.0
100.1952,4.0
100.4152,4.0
100.4422,4.0
100.8763,4.0
102.3189,6.0
102.3189,6.0
102.6406,5.0
103.2448,4.0
103.718,1.0
103.7395,5.0
104.174,6.0
104.2993,4.0
104.4096,3.0
104.4366,5.0
104.7338,5.0
104.7522,4.0
104.8746,4.0
104.9,2.0
104.9398,5.0
104.9579,4.0
105.2288,3.0
105.4074,3.0
105.427,1.0
105.4479,4.0
105.471,1.0
105.5019,4.0
105.531,1.0
105.5752,4.0
105.6192,3.0
105.764,1.0
105.873,1.0
105.8934,4.0
105.909,1.0
106.1722,3.0
106.1722,3.0
106.2382,4.0
106.3329,4.0
106.343,3.0
106.4789,5.0
106.5597,3.0
106.641,3.0
106.8351,3.0
106.8592,4.0
106.897,1.0
106.9538,3.0
106.9797,3.0
107.0876,4.0
107.214,4.0
107.2302,5.0
107.264,1.0
107.374,1.0
107.3899,2.0
107.7951,3.0
107.8337,3.0
107.8337,3.0
108.071,4.0
108.13,1.0
108.622,1.0
108.9013,4.0
108.9013,4.0
109.2317,1.0
109.5468,4.0
109.7331,4.0
110.1686,4.0
110.424,3.0
110.5766,3.0
110.5976,1.0
112.2211,3.0
113.0717,1.0
121.0967,8.0
121.8992,8.0
122.09,9.0
122.9066,4.0
123.5873,10.0
123.6936,11.0
124.384,7.0
131.165,12.0
131.193,7.0
133.1592,7.0
133.685,10.0
134.2163,15.0
134.5643,8.0
134.6543,25.0
135.162,13.0
135.202,16.0
135.5654,4.0
135.6108,13.0
136.1493,8.0
136.2504,7.0
136.6733,1.0
137.3187,13.0
137.5497,12.0
137.7373,7.0
138.2544,16.0
138.4425,20.0
138.574,16.0
138.6155,6.0
138.7494,17.0
139.8795,1.0
140.4663,16.0
140.9339,18.0
141.3868,6.0
141.8378,9.0
142.5597,8.0
142.771,11.0
142.9166,7.0
143.2767,10.0
143.4866,13.0
143.8244,15.0
144.8217,8.0
144.8456,8.0
145.1457,2.0
145.4171,5.0
145.7212,10.0
146.6635,11.0
146.8868,4.0
147.0777,12.0
147.2963,10.0
147.824,15.0
148.149,16.0
148.184,9.0
148.5421,11.0
148.7265,1.0
149.0433,16.0
149.1968,12.0
149.4624,9.0
149.5482,14.0
149.5985,6.0
149.7388,9.0
150.0118,6.0
150.1513,9.0
150.2942,10.0
150.8516,8.0
150.8821,14.0
151.067,14.0
151.7596,5.0
152.0967,14.0
157.8537,7.0
159.7738,4.0
160.7108,16.0
160.7514,10.0
161.0799,7.0
161.1215,15.0
161.7627,5.0
162.4136,6.0
163.8522,4.0
164.0892,9.0
165.1837,2.0
165.8851,15.0
166.9574,11.0
167.996,18.0
168.3003,25.0
169.2675,17.0
169.8784,20.0
169.9654,15.0
170.1262,12.0
170.2367,10.0
170.3357,16.0
173.6067,13.0
174.4674,14.0
174.948,12.0
179.7271,11.0
180.0167,17.0
180.8286,16.0
184.4151,16.0
185.3086,17.0
187.4576,22.0
189.3888,25.0
190.6723,18.0
192.5742,12.0
193.6931,10.0
194.6117,18.0
195.6548,17.0
247.0243,2.0
247.0243,2.0
247.0243,2.0
249.1569,9.0
249.5794,6.0
249.5794,6.0
249.6214,4.0
249.7171,6.0
249.8255,3.0
249.8255,3.0
249.8255,3.0
250.5757,5.0
250.6289,4.0
250.8367,5.0
250.8802,7.0
250.9713,7.0
251.2865,5.0
251.8686,9.0
252.2562,7.0
252.3401,6.0
252.5595,3.0
252.5595,3.0
252.5595,3.0
253.4785,4.0
253.4785,4.0
253.4785,4.0
329.234,4.0
333.916,5.0
351.946,3.0
