wavelength,relint
0.9393,49.0
4.3087,10.0
4.3138,20.0
4.3481,50.0
4.4373,40.0
4.442,60.0
4.4983,20.0
4.5635,40.0
4.598,20.0
4.634,40.0
4.6657,160.0
4.6711,10.0
4.7041,60.0
4.7818,10.0
4.7947,100.0
4.8024,10.0
4.8794,10.0
4.9586,1.0
5.0777,10.0
5.156,10.0
5.1654,400.0
5.3112,10.0
5.3188,200.0
5.3222,200.0
5.4011,200.0
5.4463,10.0
5.506,200.0
5.6861,10.0
6.1038,200.0
6.1088,100.0
6.1127,300.0
6.1175,200.0
6.1359,10.0
6.1393,100.0
6.1489,200.0
6.1924,400.0
6.1924,400.0
6.1924,400.0
6.202,10.0
6.5609,400.0
6.709,500.0
6.7135,600.0
6.7239,700.0
6.7731,400.0
6.8949,10.0
6.8986,100.0
6.9009,100.0
6.9058,10.0
6.9116,100.0
6.9161,300.0
6.9374,200.0
6.9413,400.0
6.9467,500.0
6.9513,100.0
6.9615,300.0
6.995,600.0
7.1841,100.0
7.1901,200.0
7.2027,300.0
7.2226,300.0
7.2312,400.0
7.4274,200.0
7.4319,300.0
7.4366,400.0
7.4411,100.0
7.4461,10.0
7.452,100.0
7.452,100.0
7.4738,100.0
7.6459,100.0
7.7737,600.0
8.0428,100.0
9.1385,10.0
43.87,1.0
43.917,6.0
44.341,4.0
44.3976,10.0
44.598,5.0
44.829,8.0
