wavelength,relint
9.9066,200.0
9.9611,200.0
9.9787,100.0
10.167,300.0
10.1781,300.0
10.2074,200.0
10.4447,70.0
10.7653,100.0
10.9162,10.0
11.3209,100.0
11.3209,100.0
11.3409,50.0
11.3515,30.0
11.3819,100.0
11.3819,100.0
11.5016,300.0
11.5398,400.0
11.5536,400.0
11.8084,700.0
11.8809,500.0
11.8857,5.0
11.8925,10.0
11.94,400.0
11.9445,400.0
11.9697,5.0
12.628,400.0
12.6546,200.0
12.6678,10.0
12.7206,1.0
13.5628,200.0
13.5947,100.0
13.6121,40.0
13.7229,600.0
13.8751,100.0
14.2935,1000.0
14.4547,10.0
14.5488,800.0
15.1807,150.0
15.2021,100.0
15.2153,300.0
15.2181,50.0
15.2386,100.0
15.2526,100.0
27.6582,1000.0
31.2302,300.0
37.6663,100.0
