wavelength,relint
5.964,1.0
6.2166,10.0
6.4122,200.0
6.6788,10.0
6.7453,10.0
6.747,100.0
6.7497,200.0
6.8352,200.0
6.9615,300.0
7.0193,100.0
7.1786,100.0
7.2787,100.0
7.2852,10.0
7.2896,1.0
7.5975,400.0
7.6392,300.0
8.294,400.0
8.2969,400.0
8.3015,500.0
8.4642,500.0
8.5091,10.0
8.5336,10.0
8.5407,700.0
8.6032,200.0
8.6032,200.0
8.6032,200.0
8.7131,500.0
8.7175,400.0
8.7722,600.0
8.7767,400.0
8.7889,500.0
8.868,600.0
8.9407,200.0
8.9448,200.0
8.9476,10.0
9.0706,400.0
9.0815,300.0
9.0897,600.0
9.146,10.0
9.1573,100.0
9.2898,200.0
9.2934,200.0
9.2964,100.0
9.4043,400.0
9.4174,300.0
9.5027,400.0
9.5089,10.0
9.5139,100.0
9.5139,100.0
9.5139,100.0
9.5233,100.0
9.8032,300.0
9.8983,400.0
10.0374,100.0
10.0374,100.0
10.1956,200.0
10.2053,10.0
10.2138,100.0
10.2471,300.0
10.2906,300.0
10.3743,10.0
10.3859,10.0
10.5159,100.0
10.6524,200.0
10.6524,200.0
10.6707,100.0
10.6707,100.0
10.6707,100.0
10.6809,10.0
11.0121,10.0
11.1984,10.0
11.2135,10.0
11.2269,1.0
28.0737,300.0
31.9027,400.0
32.0267,40.0
32.0513,70.0
32.1095,100.0
32.1154,50.0
32.314,100.0
45.069,100.0
54.6006,50.0
54.862,100.0
55.494,50.0
55.828,100.0
