wavelength,relint
5.2395,10.0
5.2628,40.0
5.2628,40.0
5.2692,80.0
5.2692,80.0
5.3438,20.0
5.3484,10.0
5.3484,10.0
5.3512,100.0
5.3744,10.0
5.6358,10.0
5.6403,10.0
5.759,10.0
5.759,10.0
5.7736,100.0
5.7736,100.0
5.8537,10.0
5.8614,200.0
5.8667,300.0
6.0316,40.0
6.0384,10.0
6.1891,200.0
6.1964,100.0
6.2291,10.0
6.2291,10.0
6.4811,10.0
6.4878,100.0
6.5735,100.0
6.5806,200.0
6.6069,300.0
6.855,100.0
6.858,10.0
7.2546,10.0
7.2684,100.0
7.2684,100.0
7.325,400.0
7.3825,100.0
7.3862,200.0
7.389,100.0
7.3927,100.0
7.3981,200.0
7.4021,300.0
7.4274,200.0
7.4319,300.0
7.4366,400.0
7.4411,100.0
7.6714,100.0
7.674,200.0
7.6788,300.0
7.7405,200.0
7.7511,100.0
7.7572,500.0
7.7671,500.0
7.7737,600.0
7.8446,600.0
7.8574,600.0
7.9695,200.0
8.0229,400.0
8.0255,400.0
8.0806,10.0
8.0889,100.0
8.1304,100.0
8.1368,10.0
8.1732,300.0
8.179,200.0
8.1844,400.0
8.1943,200.0
8.1979,200.0
8.2238,200.0
8.2317,300.0
8.2709,200.0
8.4827,10.0
8.4919,100.0
8.5064,10.0
8.5153,10.0
8.5248,200.0
8.5248,200.0
8.5599,300.0
8.5749,400.0
8.6234,100.0
8.6359,100.0
8.6847,200.0
8.7017,100.0
9.2123,100.0
9.2324,10.0
9.3911,10.0
9.4043,400.0
9.4043,400.0
9.4276,200.0
9.7465,200.0
9.7525,10.0
9.7686,100.0
34.1794,50.0
34.2068,20.0
35.3892,10.0
35.5995,10.0
42.8201,5.0
42.826,10.0
42.8301,20.0
44.174,1.0
48.5593,200.0
48.9911,200.0
49.038,3.0
67.9822,50.0
68.9601,100.0
