wavelength,relint
37.514,895.0
37.514,895.0
37.514,895.0
39.384,113.0
39.384,113.0
39.752,282.0
39.898,338.0
39.898,338.0
39.942,152.0
39.942,152.0
40.014,64.0
40.526,190.0
40.526,190.0
285.2811,16.0
285.3013,15.0
289.3618,1.0
330.2369,19.0
330.2979,18.0
342.6862,6.0
342.73,9.0
348.9,130.0
350.25,160.0
351.1,130.0
384.8,5.0
386.55,130.0
387.29,19.0
388.18,420.0
388.57,36.0
390.04,15.0
391.79,160.0
392.56,85.0
393.06,15.0
394.26,32.0
398.03,14.0
399.77,14.0
400.88,27.0
417.67,82.0
418.55,150.0
420.49,46.0
423.8987,2.0
424.2082,3.0
424.2082,3.0
424.941,1.0
425.252,2.0
425.38,17.0
427.3642,4.0
427.39,23.0
427.6787,5.0
427.6787,5.0
428.67,46.0
428.7838,2.0
429.1006,3.0
432.14,6.0
432.4615,7.0
432.4615,7.0
434.1489,4.0
434.4736,5.0
439.0029,8.0
439.334,9.0
439.334,9.0
441.9885,6.0
442.3246,7.0
443.23,310.0
449.4177,10.0
449.7658,11.0
449.7658,11.0
454.1633,7.0
454.5186,8.0
466.48107,1.0
466.85595,2.0
466.85595,2.0
474.7941,1.0
475.18218,2.0
497.85414,1.0
498.28134,2.0
507.12,270.0
514.88381,1.0
515.34024,2.0
516.25,83.0
525.64,7.0
562.1,42.0
568.26333,5.0
568.81934,1.0
568.82046,9.0
574.42,12.0
588.995095,80000.0
589.592424,40000.0
615.42253,1.0
616.0747,2.0
737.323,2.0
737.349,1.0
780.978,4.0
781.024,3.0
818.32556,5.0
819.47905,1.0
819.48237,9.0
864.992,7.0
865.089,6.0
894.296,2.0
894.296,2.0
915.388,4.0
915.388,4.0
946.594,6.0
946.594,6.0
996.128,7.0
996.128,7.0
