wavelength,relint
26.9993,10.0
27.0947,7.0
27.1373,5.0
27.394,12.0
27.4023,12.0
27.4931,20.0
27.5003,20.0
27.5218,5.0
28.1691,25.0
28.1788,25.0
28.2709,35.0
28.2803,35.0
28.3258,15.0
30.0153,160.0
30.0202,160.0
30.1318,90.0
30.1436,100.0
30.2446,60.0
36.5584,7.0
37.2075,300.0
37.534,40.0
37.573,45.0
37.6379,350.0
37.6921,45.0
38.3399,12.0
38.9362,7.0
39.4904,2.0
47.9385,2.0
51.6715,5.0
53.4714,10.0
54.4509,30.0
57.3639,5.0
61.7415,7.0
61.9876,10.0
62.3704,5.0
63.8832,5.0
64.2524,7.0
64.44,30.0
65.9378,5.0
68.1896,7.0
68.9605,20.0
69.1799,12.0
70.6677,7.0
71.9891,7.0
74.5157,50.0
75.7331,60.0
75.7892,45.0
75.9225,60.0
76.5788,20.0
76.6429,20.0
77.6668,20.0
77.8413,40.0
78.0422,12.0
78.1171,12.0
78.1752,20.0
78.29,30.0
78.5088,40.0
78.6009,30.0
78.6477,15.0
78.8369,25.0
78.9177,20.0
79.0546,70.0
79.6301,20.0
79.8013,15.0
80.2197,20.0
80.9413,15.0
81.5631,20.0
83.0105,20.0
83.1528,30.0
84.4341,12.0
86.8738,30.0
87.1473,12.0
89.3899,25.0
89.5054,20.0
89.9342,20.0
90.0904,30.0
90.2763,25.0
91.1067,25.0
91.1815,20.0
91.5217,20.0
92.2829,25.0
94.8887,20.0
95.257,25.0
95.4299,20.0
95.6676,20.0
95.802,20.0
95.845,30.0
96.0686,20.0
96.6112,25.0
96.9865,30.0
97.8207,50.0
99.0613,45.0
99.3054,40.0
100.6185,30.0
100.9428,30.0
103.4162,45.0
105.9066,35.0
106.7165,35.0
106.8016,40.0
108.0885,45.0
108.1079,30.0
108.1836,35.0
108.3594,20.0
108.5003,40.0
108.7238,20.0
108.7701,15.0
108.7895,25.0
108.8699,50.0
109.3447,25.0
112.5502,50.0
113.339,160.0
113.702,60.0
114.3185,60.0
114.6157,60.0
114.7967,60.0
115.7291,40.0
116.5548,60.0
117.0046,35.0
117.2698,50.0
117.2969,40.0
117.6794,160.0
117.7238,60.0
117.7426,60.0
117.8256,130.0
117.8777,60.0
117.9212,60.0
117.9623,40.0
118.0153,60.0
118.3109,70.0
118.3498,30.0
118.4421,70.0
119.8237,25.0
119.8767,40.0
119.9941,35.0
120.0079,30.0
121.3998,30.0
121.7472,45.0
124.2048,15.0
124.265,20.0
124.3427,30.0
124.4511,20.0
125.4813,30.0
125.5354,25.0
126.4891,12.0
126.8947,25.0
128.2348,15.0
128.5384,30.0
129.3974,60.0
129.4696,15.0
129.5164,30.0
129.7856,12.0
129.8142,15.0
129.9018,30.0
129.9895,60.0
130.3957,15.0
130.4546,15.0
130.6618,20.0
130.7936,10.0
131.0078,45.0
131.1158,10.0
131.2026,30.0
131.2587,20.0
131.653,12.0
131.9815,30.0
132.2295,12.0
132.7742,50.0
132.8497,12.0
132.9354,30.0
133.6112,25.0
133.8575,35.0
134.1369,35.0
134.2401,20.0
134.721,35.0
134.7543,45.0
134.9602,15.0
134.9876,25.0
135.1799,12.0
135.2118,35.0
135.2904,130.0
135.9055,20.0
136.1217,15.0
136.6242,15.0
137.3451,15.0
137.4688,90.0
137.5618,15.0
138.0623,12.0
138.1236,30.0
138.1633,12.0
138.4794,10.0
138.5296,10.0
138.5465,12.0
138.6076,10.0
139.2072,15.0
139.2316,10.0
139.294,15.0
139.5193,10.0
139.8143,12.0
139.907,30.0
