wavelength,relint
18.1023,3.0
18.1023,3.0
18.2511,1.0
18.2968,1.0
18.3515,1.0
18.4019,4.0
18.4409,4.0
18.93488,5.0
19.1307,4.0
19.15118,3.0
19.38043,5.0
19.41213,4.0
19.42926,5.0
19.43228,4.0
19.43228,4.0
19.44617,5.0
19.46392,5.0
19.46842,6.0
19.49795,5.0
19.50447,3.0
19.55321,6.0
19.55321,6.0
19.60546,5.0
20.1845,2.0
20.21499,6.0
20.21862,6.0
20.24947,8.0
20.27645,8.0
20.3284,8.0
20.3326,3.0
20.68743,6.0
20.7297,10.0
20.74609,6.0
20.7746,1.0
20.78859,7.0
20.79964,5.0
20.8591,2.0
21.42237,7.0
21.45885,8.0
21.54819,8.0
21.58607,12.0
21.5964,1.0
21.61187,12.0
21.7043,1.0
21.7114,3.0
21.76861,2.0
21.7757,1.0
22.98693,15.0
23.05933,12.0
25.1372,30.0
26.68965,25.0
26.76458,70.0
26.7874,50.0
26.86261,50.0
27.24492,20.0
27.34677,3.0
37.8136,100.0
38.01,70.0
132.57,3.0
133.676,7.0
133.7358,7.0
133.7995,2.0
134.0674,8.0
134.2729,10.0
135.5281,11.0
136.1896,12.0
136.1896,12.0
137.234,11.0
142.0885,10.0
144.0775,7.0
144.4194,0.0
144.5731,7.0
144.785,2.0
144.873,3.0
144.9311,2.0
145.2911,8.0
145.7939,2.0
146.1153,7.0
146.5926,9.0
148.7438,5.0
152.3548,7.0
152.3548,7.0
152.5301,9.0
152.5301,9.0
152.6883,6.0
156.287,11.0
156.361,3.0
156.5294,10.0
156.5294,10.0
157.9117,8.0
159.8177,10.0
168.8942,11.0
169.9293,10.0
170.197,8.0
171.1124,10.0
171.2482,9.0
172.8273,11.0
172.8923,1.0
173.071,0.0
173.1113,10.0
173.7711,8.0
175.5475,10.0
176.1018,3.0
176.1428,3.0
176.67,8.0
177.135,2.0
177.8402,7.0
178.346,9.0
180.502,1.0
180.5764,7.0
180.6229,7.0
180.6684,7.0
180.707,15.0
181.0071,2.0
181.0767,10.0
181.0767,10.0
181.1671,11.0
181.2555,8.0
181.6812,10.0
181.7617,8.0
183.8944,10.0
184.4362,11.0
184.5149,9.0
184.9564,15.0
185.0379,12.0
186.061,1.0
186.1211,10.0
186.5177,8.0
186.7517,1.0
187.6155,8.0
187.916,4.0
188.0663,10.0
188.469,3.0
188.8375,8.0
189.5864,6.0
189.5864,6.0
189.735,7.0
190.0164,15.0
190.5674,3.0
190.815,3.0
190.9806,8.0
191.319,9.0
191.491,0.0
191.5436,8.0
191.6,3.0
191.7344,9.0
191.8453,10.0
191.8453,10.0
192.258,3.0
192.3963,11.0
192.5189,8.0
192.5189,8.0
192.6711,5.0
192.7237,11.0
192.759,3.0
192.9624,3.0
193.2737,12.0
193.3885,13.0
193.4335,3.0
193.6815,6.0
193.703,3.0
193.841,4.0
193.8637,6.0
193.9559,3.0
194.3047,4.0
194.3347,9.0
194.3516,10.0
194.6426,12.0
194.7324,1.0
195.0906,12.0
195.1237,14.0
195.5326,8.0
195.6314,6.0
196.823,4.0
197.0221,2.0
197.0986,1.0
197.278,7.0
197.278,7.0
197.386,1.0
197.415,8.0
197.67,8.0
197.7161,10.0
198.5567,13.0
199.024,8.0
199.0989,8.0
199.5675,10.0
200.4215,10.0
200.5217,11.0
200.5546,9.0
200.847,11.0
201.1865,15.0
201.4169,11.0
201.7024,12.0
201.723,1.0
202.2295,9.0
202.3225,6.0
202.8553,12.0
203.1128,12.0
203.5897,11.0
203.7776,8.0
204.1661,12.0
204.329,12.0
204.4823,10.0
204.5443,10.0
204.797,1.0
204.8313,6.0
204.8719,7.0
205.1484,11.0
205.1845,5.0
205.5183,9.0
205.873,4.0
206.036,10.0
206.299,5.0
206.5282,4.0
206.6601,15.0
206.6905,8.0
207.2673,11.0
207.7974,9.0
208.2907,13.0
209.4808,4.0
209.9563,6.0
210.0443,3.0
210.2762,12.0
210.476,0.0
210.927,1.0
211.265,7.0
211.675,12.0
212.451,10.0
212.663,11.0
212.7842,11.0
214.0723,15.0
214.1068,9.0
214.186,1.0
214.4202,7.0
214.4542,14.0
214.5231,9.0
214.6234,9.0
214.8574,12.0
215.1653,10.0
215.9082,9.0
215.971,1.0
216.3178,5.0
216.9702,4.0
218.2846,9.0
218.53,8.0
218.5498,8.0
218.942,1.0
219.0185,11.0
219.611,3.0
220.2831,15.0
220.8069,8.0
221.2352,9.0
221.4208,10.0
221.734,6.0
222.528,5.0
222.5927,15.0
223.0328,30.0
223.2187,16.0
223.9484,13.0
225.1474,14.0
227.8413,15.0
227.9482,12.0
228.162,10.0
228.566,13.0
230.9988,15.0
231.465,0.0
232.456,0.0
236.7295,9.0
238.6992,18.0
239.3589,9.0
239.4032,17.0
240.6588,15.0
245.9306,25.0
246.8854,18.0
247.4732,20.0
249.7022,25.0
251.0264,17.0
253.0249,15.0
254.2791,14.0
263.745,0.0
