wavelength,relint
13.64295,3.0
13.65513,4.0
13.66359,3.0
13.6754,3.0
13.68547,4.0
13.68547,4.0
13.70573,4.0
13.70573,4.0
13.71429,3.0
13.77117,5.0
13.79415,5.0
13.99613,4.0
14.01811,3.0
14.01811,3.0
14.0274,1.0
14.22315,7.0
14.23593,6.0
14.26851,5.0
14.49794,4.0
14.52046,3.0
14.53,1.0
14.58426,3.0
14.60644,8.0
14.60644,8.0
14.60644,8.0
14.63015,7.0
15.02981,9.0
15.0459,1.0
15.05427,7.0
15.06867,8.0
15.07097,5.0
15.07097,5.0
15.09424,5.0
15.09667,6.0
15.10503,6.0
15.12994,7.0
15.38432,3.0
15.50826,7.0
15.52398,7.0
15.54477,7.0
15.55104,8.0
15.55104,8.0
15.56197,6.0
15.56872,6.0
15.56872,6.0
15.57129,5.0
15.57762,7.0
15.58276,5.0
15.65084,6.0
15.65374,8.0
15.688,7.0
15.70841,8.0
15.75948,5.0
15.77792,8.0
16.24479,12.0
16.31895,10.0
16.3274,1.0
16.3343,1.0
16.48412,9.0
16.8411,12.0
16.8411,12.0
16.85456,10.0
17.40047,6.0
17.54964,6.0
17.57965,3.0
17.593,1.0
18.17565,8.0
18.1764,6.0
18.2123,6.0
18.21322,7.0
18.21322,7.0
18.22885,6.0
18.8178,1.0
19.013,8.0
19.04453,10.0
19.08273,9.0
19.08359,9.0
19.09992,8.0
19.2551,1.0
19.97722,10.0
20.39577,8.0
20.59546,9.0
20.61533,8.0
31.96436,10.0
36.076,10.0
40.86836,12.0
40.96142,10.0
41.03715,15.0
41.05411,8.0
41.13343,10.0
41.22418,13.0
145.6943,7.0
150.8754,8.0
158.0233,9.0
158.05,10.0
158.2326,10.0
158.2613,8.0
158.4141,12.0
161.3948,10.0
161.5922,11.0
161.857,12.0
165.5468,11.0
167.233,5.0
170.2409,10.0
170.2735,6.0
170.2995,7.0
179.1629,8.0
182.4113,5.0
196.076,12.0
196.5078,11.0
196.7601,10.0
196.8441,9.0
197.2223,9.0
197.5148,7.0
198.3746,5.0
198.714,7.0
201.8137,5.0
201.8384,10.0
201.9188,9.0
211.3099,4.0
211.4533,10.0
211.513,3.0
212.4875,4.0
215.5762,10.0
