wavelength,relint
10.088,10.0
10.088,10.0
10.0945,10.0
10.0945,10.0
10.3482,10.0
10.3482,10.0
10.6278,100.0
10.6302,100.0
10.6399,100.0
10.649,100.0
10.7934,200.0
10.8017,200.0
10.8017,200.0
11.0817,200.0
11.0878,200.0
11.0921,10.0
11.1512,100.0
11.1552,10.0
11.1879,10.0
11.1879,10.0
11.2009,300.0
11.2077,10.0
11.2186,10.0
11.2347,10.0
11.3574,10.0
11.3574,10.0
11.3952,10.0
11.47,100.0
11.4738,100.0
11.7703,10.0
11.7876,10.0
11.799,400.0
12.004,100.0
12.1263,10.0
12.5178,400.0
12.5216,400.0
12.5286,500.0
12.5428,300.0
12.5461,300.0
12.5899,200.0
12.609,10.0
12.621,100.0
12.6368,10.0
12.6458,10.0
12.6557,200.0
12.6608,100.0
12.6779,10.0
12.6814,100.0
12.692,10.0
12.6985,10.0
12.7036,10.0
12.7444,400.0
12.7473,400.0
12.8025,400.0
12.8051,400.0
12.9942,100.0
13.068,200.0
13.0723,100.0
13.1345,300.0
13.1413,200.0
13.1635,300.0
13.1635,300.0
13.3162,500.0
13.3388,400.0
13.4183,10.0
13.4272,200.0
13.5791,300.0
13.5854,300.0
13.8812,200.0
13.8917,300.0
14.0171,10.0
14.0258,10.0
14.2232,200.0
14.2415,10.0
14.433,200.0
14.4546,200.0
14.4661,100.0
14.7897,200.0
14.8642,400.0
14.8856,300.0
14.9001,200.0
15.0968,200.0
15.1127,400.0
15.1127,400.0
15.1188,100.0
15.1303,100.0
15.7036,200.0
15.7036,200.0
15.7209,300.0
15.7511,200.0
16.3616,300.0
16.3662,5.0
16.393,200.0
16.751,100.0
17.0631,100.0
17.0923,100.0
17.1076,100.0
18.3806,30.0
29.7482,30.0
30.7152,800.0
30.8264,1000.0
33.0718,10.0
33.255,800.0
33.391,900.0
36.0319,800.0
36.0367,800.0
36.7557,200.0
36.9743,300.0
40.0722,1000.0
40.0722,1000.0
40.3283,5.0
40.3283,5.0
44.5046,500.0
44.519,600.0
45.9897,600.0
46.1051,850.0
46.3263,1000.0
51.0102,10.0
51.1193,100.0
51.435,10.0
63.6579,10.0
71.9491,15.0
83.1868,5.0
83.1868,5.0
136.487,22.0
136.551,22.0
165.0654,20.0
165.0654,20.0
180.617,25.0
