wavelength,relint
8.0345,10.0
8.0645,10.0
8.1543,100.0
8.3639,100.0
8.7141,100.0
8.7211,700.0
8.8038,100.0
8.8143,200.0
8.8223,100.0
8.8246,200.0
8.827,300.0
8.834,100.0
8.8387,10.0
8.846,100.0
8.8583,100.0
9.0468,300.0
9.0746,10.0
9.1268,100.0
9.1414,10.0
9.1475,10.0
9.1737,10.0
9.1836,10.0
9.4208,100.0
9.4827,10.0
9.5182,100.0
9.5263,100.0
9.5319,10.0
9.5933,300.0
9.6124,10.0
9.6196,100.0
9.6307,100.0
9.6475,300.0
9.7636,10.0
9.8309,20.0
9.9004,10.0
9.95,10.0
9.95,10.0
9.9617,100.0
9.968,100.0
10.0469,200.0
10.0519,300.0
10.059,100.0
10.3002,10.0
10.3078,100.0
10.321,200.0
10.604,300.0
10.6077,300.0
10.6125,400.0
10.658,10.0
10.7014,200.0
10.7061,300.0
10.7093,300.0
10.7158,100.0
10.7227,300.0
10.7288,400.0
10.7535,300.0
10.7553,300.0
10.7608,400.0
10.7683,500.0
10.7742,200.0
10.7934,200.0
10.8555,400.0
10.8678,10.0
10.9763,10.0
10.9896,500.0
11.0085,200.0
11.075,200.0
11.1725,100.0
11.1793,100.0
11.2009,300.0
11.2009,300.0
11.2009,300.0
11.2009,300.0
11.2009,300.0
11.2009,300.0
11.2448,300.0
11.295,400.0
11.3125,400.0
11.4666,400.0
11.5729,200.0
11.578,10.0
11.7491,400.0
11.7609,300.0
11.7699,300.0
11.85,10.0
11.8585,10.0
11.9204,10.0
11.9415,5.0
11.9684,300.0
12.0355,10.0
12.0931,300.0
12.0973,200.0
12.1004,100.0
12.1773,400.0
12.1913,320.0
12.2018,300.0
12.2199,5.0
12.3134,400.0
12.3744,400.0
12.3868,300.0
12.3929,500.0
12.397,200.0
12.4059,400.0
12.4153,400.0
12.485,10.0
12.5383,10.0
12.7837,400.0
12.904,200.0
13.3825,200.0
13.4021,100.0
13.4135,10.0
13.4532,300.0
13.7589,10.0
13.8693,200.0
14.0833,200.0
14.104,10.0
14.6398,10.0
14.9442,10.0
14.9621,10.0
15.8225,5.0
15.8517,5.0
16.6367,40.0
17.7637,30.0
17.8061,20.0
17.8244,15.0
18.9473,10.0
19.1205,10.0
29.3887,30.0
30.85,25.0
31.1921,400.0
31.2608,300.0
31.3748,500.0
31.7641,600.0
36.125,800.0
36.2444,400.0
36.3774,200.0
36.4477,300.0
36.611,400.0
36.624,10.0
38.3783,25.0
41.437,200.0
41.5505,400.0
41.7595,600.0
41.8828,30.0
42.1465,100.0
42.3821,200.0
44.0266,300.0
44.4686,20.0
46.546,5.0
46.664,20.0
48.958,500.0
49.124,300.0
49.134,600.0
49.416,300.0
49.4382,700.0
49.7273,5.0
49.9115,20.0
50.4541,30.0
52.873,10.0
63.29,10.0
63.821,10.0
69.9093,20.0
73.3743,15.0
79.832,10.0
81.0183,25.0
81.4515,15.0
81.8096,10.0
82.7909,5.0
84.414,15.0
85.174,5.0
85.479,20.0
86.4625,10.0
86.7537,5.0
88.8784,5.0
94.5223,5.0
94.6064,20.0
96.748,20.0
97.4034,10.0
98.519,5.0
98.871,2500.0
108.8636,20.0
111.678,15.0
135.635,200.0
136.5248,10.0
144.9628,40.0
175.6961,10.0
220.459,25.0
