wavelength,relint
6.2725,10.0
6.3185,10.0
6.3227,10.0
6.3361,10.0
6.3442,10.0
6.3778,10.0
6.4113,10.0
6.4904,10.0
6.5388,100.0
6.5388,100.0
6.5388,100.0
6.5388,100.0
6.5474,100.0
6.5474,100.0
6.7826,100.0
6.7826,100.0
6.7877,100.0
6.7912,200.0
6.8422,10.0
6.8519,100.0
6.8866,10.0
6.8908,100.0
6.9314,10.0
6.9395,10.0
7.202,100.0
7.2079,100.0
7.2865,200.0
7.2865,200.0
7.4097,100.0
7.418,200.0
7.4217,200.0
7.4255,300.0
7.4268,300.0
7.4861,300.0
7.498,300.0
7.6501,10.0
7.6565,10.0
7.6827,10.0
7.6862,10.0
7.7353,100.0
7.8459,10.0
7.8459,10.0
7.8771,10.0
7.8907,300.0
7.8982,200.0
7.9477,200.0
7.9477,200.0
7.9571,100.0
7.9761,10.0
7.9786,10.0
7.9893,300.0
7.9893,300.0
8.0008,300.0
8.0133,10.0
8.0174,10.0
8.0245,100.0
8.143,100.0
8.1498,200.0
8.1855,400.0
8.2636,10.0
8.2685,10.0
8.4221,400.0
8.4221,400.0
8.4832,10.0
8.526,300.0
8.5297,300.0
8.5297,300.0
8.5458,400.0
8.6596,400.0
8.6652,500.0
8.6758,300.0
8.7141,100.0
8.7471,10.0
8.7471,10.0
8.8698,200.0
8.8747,300.0
8.8865,400.0
8.8914,200.0
9.0173,100.0
9.0252,400.0
9.083,10.0
9.083,10.0
9.1064,200.0
9.1064,200.0
9.2003,500.0
9.2003,500.0
9.2774,200.0
9.2809,100.0
9.2843,100.0
9.2883,100.0
9.293,200.0
9.2976,400.0
9.3393,400.0
9.3434,400.0
9.3486,500.0
9.3528,100.0
9.402,10.0
9.4288,600.0
9.4468,700.0
9.6845,100.0
9.6872,200.0
9.6922,300.0
9.779,100.0
9.7907,200.0
9.8016,100.0
9.808,300.0
9.8188,300.0
9.8378,300.0
9.8394,300.0
9.9421,400.0
9.9556,400.0
9.968,100.0
9.968,100.0
10.0718,200.0
10.0718,200.0
10.1785,300.0
10.1816,300.0
10.2226,100.0
10.239,100.0
10.2448,10.0
10.3354,100.0
10.34,10.0
10.3779,300.0
10.3842,200.0
10.3891,400.0
10.4,200.0
10.4036,220.0
10.4871,200.0
10.4955,300.0
10.5111,300.0
10.5205,200.0
10.5354,400.0
10.7061,300.0
10.7093,300.0
10.8079,10.0
10.8193,200.0
10.8373,100.0
10.8733,200.0
10.8829,100.0
10.9362,100.0
10.9519,200.0
11.0647,200.0
11.0778,300.0
11.0817,200.0
11.1211,300.0
11.139,200.0
11.5361,10.0
11.5475,10.0
11.884,10.0
11.8902,10.0
11.9014,100.0
11.91,10.0
11.9204,10.0
12.2018,300.0
12.2252,100.0
12.4532,10.0
12.6779,10.0
12.6814,100.0
13.9867,200.0
35.0645,500.0
35.2275,600.0
35.3294,800.0
35.495,400.0
38.13,300.0
38.5061,10.0
38.5254,10.0
39.6335,200.0
39.749,300.0
39.9182,400.0
48.3216,200.0
48.3328,300.0
48.674,400.0
49.195,400.0
86.96,500.0
87.212,2000.0
88.033,1500.0
