wavelength,relint
5.1316,10.0
5.1789,10.0
5.375,10.0
5.438,100.0
5.5345,10.0
5.5396,100.0
5.7096,10.0
5.7119,10.0
5.723,10.0
5.807,10.0
5.9009,100.0
5.9101,10.0
5.9204,300.0
5.9249,10.0
5.9759,200.0
5.9992,10.0
6.0053,100.0
6.0073,100.0
6.1088,200.0
6.1347,1.0
6.2276,100.0
6.3114,100.0
6.3695,10.0
6.4205,200.0
6.4236,400.0
6.4302,500.0
6.5672,10.0
6.573,10.0
6.6059,200.0
6.6358,10.0
6.6433,200.0
6.6498,400.0
6.7478,200.0
6.7672,400.0
6.8193,100.0
6.912,300.0
7.0741,10.0
7.4956,300.0
7.498,300.0
7.5043,400.0
7.5096,300.0
7.5385,100.0
7.5428,200.0
7.5518,300.0
7.6123,500.0
7.6173,100.0
7.6217,200.0
7.7266,600.0
8.0756,10.0
8.121,500.0
8.324,700.0
8.3288,800.0
8.3391,900.0
8.405,500.0
8.5826,200.0
8.5861,300.0
8.5887,300.0
8.5936,100.0
8.5992,300.0
8.6039,500.0
8.6381,400.0
8.6417,500.0
8.6479,600.0
8.653,100.0
8.6758,300.0
8.7211,700.0
8.9759,200.0
8.9818,300.0
8.9948,400.0
9.0252,400.0
9.0536,500.0
9.312,100.0
9.3197,10.0
9.3242,200.0
9.3339,10.0
9.367,400.0
9.3898,200.0
9.808,300.0
10.2043,10.0
10.7158,100.0
11.7909,10.0
16.8964,35.0
41.1145,100.0
49.2329,10.0
49.6249,100.0
