wavelength,relint
228.998,1600.0
230.078,630.0
231.096,2000.0
231.234,1700.0
231.366,1400.0
231.398,1400.0
231.716,1400.0
232.003,2600.0
232.138,1900.0
232.268,240.0
232.579,1400.0
232.996,940.0
233.749,460.0
233.782,160.0
234.554,1200.0
234.663,190.0
234.752,400.0
236.063,160.0
236.206,200.0
238.658,240.0
241.931,240.0
242.123,85.0
242.333,70.0
242.366,70.0
242.403,70.0
245.399,85.0
247.206,160.0
247.687,85.0
269.649,45.0
279.865,150.0
282.129,250.0
286.55,50.0
290.746,60.0
291.401,25.0
294.391,500.0
298.165,570.0
298.413,250.0
299.26,500.0
299.446,1000.0
300.249,4000.0
300.363,2200.0
301.2,3700.0
301.914,350.0
303.187,120.0
303.794,1700.0
304.501,150.0
305.082,3500.0
305.432,1500.0
305.764,1900.0
306.462,500.0
308.076,420.0
309.712,260.0
309.912,210.0
310.155,2600.0
310.188,1300.0
310.547,220.0
311.412,270.0
313.411,2900.0
314.572,55.0
318.174,55.0
318.437,100.0
319.557,55.0
319.711,150.0
320.214,55.0
321.406,180.0
321.783,180.0
322.127,100.0
322.165,150.0
322.502,210.0
323.296,1100.0
323.465,290.0
324.306,600.0
324.846,100.0
325.074,120.0
327.112,100.0
328.27,120.0
331.566,660.0
332.026,330.0
332.231,310.0
336.156,330.0
336.577,330.0
336.617,330.0
336.681,65.0
336.789,65.0
336.957,2900.0
337.199,400.0
337.422,260.0
337.464,130.0
338.057,3300.0
338.085,240.0
339.105,1300.0
339.299,3300.0
340.958,130.0
341.348,330.0
341.394,330.0
341.476,8200.0
342.371,1600.0
343.356,2600.0
343.728,990.0
344.626,4800.0
345.289,1300.0
345.847,5000.0
346.165,5000.0
346.75,200.0
346.949,240.0
347.254,1600.0
348.377,550.0
348.589,130.0
349.296,5500.0
350.085,660.0
350.26,65.0
350.769,55.0
351.034,2600.0
351.393,260.0
351.505,6600.0
351.977,660.0
352.454,8200.0
352.798,110.0
354.818,330.0
355.153,55.0
356.175,65.0
356.637,5000.0
357.187,990.0
358.793,130.0
359.77,1300.0
361.046,1300.0
361.274,530.0
361.939,6600.0
362.473,130.0
366.41,200.0
366.924,130.0
367.043,180.0
367.415,260.0
368.842,160.0
369.393,80.0
372.248,120.0
373.681,150.0
373.923,60.0
377.557,600.0
378.353,700.0
380.714,700.0
383.169,110.0
385.83,1200.0
388.967,30.0
397.217,35.0
397.356,110.0
440.155,110.0
445.904,85.0
446.246,18.0
447.048,55.0
459.253,35.0
460.037,18.0
460.5,65.0
460.623,18.0
464.866,75.0
468.622,23.0
471.442,110.0
471.578,22.0
475.652,30.0
476.395,15.0
478.654,45.0
480.7,22.0
483.118,19.0
485.541,45.0
486.627,30.0
487.344,17.0
490.441,40.0
491.836,22.0
493.583,16.0
498.016,45.0
498.413,45.0
501.246,18.0
501.759,50.0
503.537,100.0
504.885,16.0
508.052,100.0
508.111,65.0
509.932,18.0
511.54,21.0
513.708,23.0
516.866,16.0
517.656,13.0
543.587,8.0
547.691,180.0
551.0,6.0
557.873,6.0
558.786,9.0
559.228,13.0
561.479,9.0
564.97,4.0
566.402,5.0
568.22,12.0
569.5,8.0
570.956,23.0
571.19,10.0
571.509,10.0
575.468,16.0
576.085,8.0
585.776,10.0
589.288,10.0
610.812,10.0
617.681,10.0
619.118,10.0
625.636,13.0
631.466,10.0
664.364,16.0
676.777,22.0
677.232,9.0
691.456,10.0
711.09,5.0
712.22,26.0
718.2,6.0
719.702,5.0
726.193,5.0
729.145,5.0
738.524,4.0
739.36,16.0
740.935,16.0
741.451,5.0
742.228,23.0
752.276,13.0
752.512,9.0
755.56,19.0
757.405,8.0
761.7,23.0
761.921,9.0
771.432,16.0
772.761,19.0
774.889,19.0
778.894,10.0
779.759,13.0
791.744,2.0
880.942,2.0
886.255,9.0
