wavelength,relint
131.722,500.0
133.52,400.0
137.014,500.0
174.155,1000.0
174.828,500.0
216.555,1000.0
216.91,2000.0
217.467,2000.0
217.515,1500.0
217.709,500.0
217.736,400.0
217.935,400.0
218.047,800.0
218.46,800.0
218.55,2500.0
219.209,3000.0
220.141,600.0
220.555,5000.0
220.672,4000.0
221.648,6000.0
222.04,800.0
222.106,500.0
222.296,900.0
224.268,500.0
225.385,500.0
226.446,1000.0
227.021,2000.0
227.728,800.0
227.832,400.0
227.877,800.0
228.765,500.0
229.655,400.0
229.714,400.0
230.3,1000.0
231.604,1000.0
231.975,500.0
233.458,500.0
234.12,500.0
237.542,1000.0
239.452,1000.0
241.613,2000.0
243.789,500.0
251.087,500.0
256.592,500.0
260.626,500.0
260.994,500.0
261.506,500.0
286.402,500.0
329.287,400.0
329.76,500.0
330.571,400.0
333.188,2000.0
333.564,400.0
333.809,500.0
334.884,500.0
334.924,500.0
335.868,600.0
336.345,500.0
337.897,500.0
340.105,500.0
499.202,500.0
809.675,1000.0
811.421,500.0
812.148,700.0
