wavelength,relint
39.268,33.0
39.324,32.0
42.44,49.0
44.421,57.0
46.967,67.0
47.124,65.0
48.542,65.0
53.628,66.0
53.796,67.0
134.572,58.0
135.707,69.0
139.819,76.0
141.145,74.0
141.958,69.0
142.122,74.0
142.745,70.0
142.893,67.0
143.524,67.0
143.882,70.0
144.901,73.0
145.222,76.0
145.542,70.0
147.263,69.0
147.682,68.0
148.225,73.0
148.953,67.0
148.983,72.0
149.301,69.0
149.367,74.0
149.871,68.0
149.877,71.0
149.89,72.0
149.997,67.0
151.274,70.0
151.666,70.0
152.063,73.0
152.531,75.0
152.768,74.0
152.78,74.0
153.471,76.0
153.725,73.0
153.893,69.0
154.341,75.0
154.623,74.0
154.804,68.0
155.728,69.0
156.018,67.0
