wavelength,relint
19.9154,2600.0
19.9504,2100.0
19.97415,1100.0
19.9966,1200.0
22.75655,33000.0
22.80309,23000.0
22.83454,8100.0
22.85464,4500.0
22.86435,930.0
23.61097,1500.0
23.6467,790.0
23.66057,520.0
23.67161,600.0
23.68024,330.0
23.6932,280.0
30.40177,470.0
30.4702,330.0
30.5129,190.0
30.53049,140.0
30.66687,200.0
30.67763,250.0
30.74923,210.0
30.98106,330.0
31.00705,210.0
31.07911,470.0
31.08465,250.0
31.10236,27.0
31.1547,270.0
31.24123,370.0
31.25195,330.0
31.268,210.0
31.28389,120.0
31.29622,260.0
31.39927,250.0
31.50824,160.0
31.57121,1500.0
31.5829,540.0
31.59054,340.0
31.59686,370.0
31.61126,670.0
31.64279,390.0
31.64676,430.0
31.68102,250.0
31.6866,320.0
31.70373,220.0
31.7291,620.0
31.74019,630.0
31.78648,190.0
31.82595,100.0
31.8528,56.0
31.87032,40.0
31.87657,560.0
31.90153,130.0
31.90307,150.0
31.91625,230.0
31.94144,920.0
31.95256,480.0
32.01106,68.0
32.1102,260.0
32.13854,140.0
32.15348,130.0
32.31126,85.0
32.32077,340.0
32.33937,230.0
32.4172,190.0
32.446,230.0
32.49359,700.0
32.65882,520.0
32.68519,400.0
33.00432,260.0
33.01582,300.0
33.08204,230.0
33.10167,270.0
33.1113,190.0
33.1113,190.0
33.13704,170.0
33.15067,280.0
33.15711,210.0
33.22928,340.0
33.23163,210.0
33.23448,140.0
33.24711,320.0
33.25277,280.0
33.2788,460.0
33.2788,460.0
33.41164,230.0
33.44791,160.0
33.53951,580.0
33.54777,500.0
33.55293,300.0
33.55933,300.0
33.57182,1800.0
33.58508,280.0
33.60715,170.0
33.6154,290.0
33.63006,890.0
33.65043,310.0
33.65755,430.0
33.67917,2200.0
33.68181,1400.0
33.69304,430.0
33.7184,460.0
33.72358,230.0
33.72764,250.0
33.73152,270.0
33.74606,470.0
33.76227,340.0
33.76965,420.0
33.77612,490.0
33.78042,440.0
33.792,250.0
33.792,250.0
33.81983,850.0
33.83569,230.0
33.83821,400.0
33.84733,1200.0
33.85693,320.0
33.87381,120.0
33.88193,540.0
33.88864,640.0
33.90521,220.0
33.92767,59.0
33.96743,86.0
34.00786,840.0
34.0189,200.0
34.0189,200.0
34.04868,370.0
34.05161,860.0
34.06533,410.0
34.1068,110.0
34.1068,110.0
34.13511,590.0
34.1589,330.0
34.16738,230.0
34.17008,560.0
34.17681,410.0
34.1832,1100.0
34.18583,460.0
34.209,760.0
34.21355,480.0
34.22146,430.0
34.2506,1000.0
34.2506,1000.0
34.2506,1000.0
34.25454,510.0
34.25923,1100.0
34.27284,370.0
34.27901,640.0
34.29105,850.0
34.2976,710.0
34.2996,390.0
34.30566,1100.0
34.32153,140.0
34.32562,170.0
34.3385,450.0
34.34541,890.0
34.3503,590.0
34.37108,560.0
34.37391,410.0
34.38831,840.0
34.40535,540.0
34.42001,500.0
34.42336,1600.0
34.44381,300.0
34.45711,2000.0
34.4767,1200.0
34.4767,1200.0
34.48102,430.0
34.49465,820.0
34.4986,990.0
34.4986,990.0
34.50106,880.0
34.512,1400.0
34.512,1400.0
34.516,340.0
34.52195,690.0
34.52869,420.0
34.5345,1100.0
34.5345,1100.0
34.5406,1400.0
34.5406,1400.0
34.5406,1400.0
34.54692,570.0
34.5576,1700.0
34.5576,1700.0
34.57014,370.0
34.58431,340.0
34.59385,240.0
34.61653,400.0
34.63093,390.0
34.63273,330.0
34.64172,490.0
34.65528,290.0
34.66325,160.0
34.70641,600.0
34.7275,2300.0
