wavelength,relint
37.6693,1.0
37.6745,1.0
37.7045,1.0
37.7045,1.0
39.1912,5.0
39.1943,10.0
39.2002,15.0
39.2322,15.0
39.2322,15.0
40.3035,1.0
40.3087,1.0
40.3273,1.0
40.3372,1.0
41.8598,5.0
41.8812,1.0
42.4577,1.0
42.4577,1.0
42.5273,1.0
42.5273,1.0
42.9557,10.0
42.9647,30.0
42.9647,30.0
42.9716,20.0
42.9918,30.0
43.0041,40.0
43.0177,50.0
43.651,5.0
43.6649,1.0
43.7332,20.0
43.7683,15.0
44.0552,15.0
44.0598,10.0
44.0598,10.0
44.2001,25.0
44.2001,25.0
44.2048,20.0
44.2048,20.0
44.3681,1.0
44.5601,25.0
44.5601,25.0
44.5638,20.0
45.6997,5.0
45.6997,5.0
45.6997,5.0
45.8422,1.0
45.8422,1.0
46.4194,10.0
46.431,5.0
46.431,5.0
46.4785,15.0
46.4785,15.0
46.5529,5.0
46.5529,5.0
46.576,10.0
46.576,10.0
46.7926,1.0
46.8766,10.0
46.8766,10.0
46.8766,10.0
46.8766,10.0
47.0408,20.0
47.0408,20.0
47.0408,20.0
48.1587,20.0
48.1635,1.0
48.1704,5.0
48.1755,15.0
48.3752,20.0
48.3976,25.0
48.4025,10.0
48.5086,30.0
48.5465,1.0
48.5515,25.0
48.5572,5.0
48.5572,5.0
48.5572,5.0
48.5631,20.0
48.5631,20.0
49.9871,10.0
49.9871,10.0
50.0343,5.0
50.0343,5.0
51.5498,25.0
51.564,20.0
51.564,20.0
51.7937,20.0
51.7937,20.0
51.8242,25.0
51.8242,25.0
52.59267,15.0
52.59267,15.0
53.78319,45.0
53.82636,50.0
53.90855,60.0
53.95489,50.0
53.98544,45.0
55.5059,25.0
55.5059,25.0
55.5118,20.0
55.5118,20.0
58.04058,20.0
58.04058,20.0
58.09707,25.0
58.09707,25.0
60.0586,25.0
60.0586,25.0
60.0586,25.0
61.63029,35.0
61.6378,20.0
61.70632,30.0
64.4157,60.0
64.4157,60.0
67.2946,40.0
67.2946,40.0
67.3768,35.0
67.3768,35.0
71.85036,85.0
71.85663,80.0
73.9949,15.0
74.0838,4.0
74.1293,1.0
79.6644,40.0
83.27587,100.0
83.33302,150.0
83.44655,200.0
107.4962,8.0
108.3139,25.0
108.5056,20.0
108.6022,18.0
112.8081,50.0
112.9251,40.0
113.0147,40.0
113.1325,20.0
113.1914,35.0
113.2389,35.0
113.2975,18.0
114.2601,8.0
114.2947,7.0
114.3258,10.0
114.3548,9.0
114.7246,10.0
114.8895,10.0
115.3368,15.0
115.4102,15.0
120.072,12.0
120.1485,8.0
120.1822,12.0
120.2025,12.0
125.6074,6.0
125.7345,10.0
125.8156,6.0
125.9931,10.0
126.1016,10.0
127.5143,10.0
128.6409,10.0
128.9127,12.0
128.9387,6.0
131.5338,8.0
131.5518,8.0
131.7162,10.0
131.8269,12.0
131.9918,10.0
132.0567,10.0
132.0957,12.0
132.1317,15.0
132.2402,9.0
132.3731,8.0
137.3437,7.0
137.3595,8.0
137.6826,4.0
139.2806,4.0
139.6304,8.0
143.3772,6.0
143.5943,8.0
143.9233,8.0
150.2838,15.0
150.3045,10.0
150.4121,12.0
155.9946,6.0
156.0087,8.0
156.315,3.0
156.3485,3.0
156.4329,10.0
156.4463,5.0
157.8384,5.0
159.3354,20.0
159.3977,10.0
159.4189,18.0
161.6963,8.0
163.2681,5.0
163.6249,8.0
163.7824,8.0
163.9767,10.0
163.9891,10.0
164.0517,12.0
164.4924,6.0
165.0664,10.0
165.1176,12.0
165.2045,15.0
165.354,10.0
165.5505,10.0
166.406,6.0
166.7565,10.0
166.7565,10.0
166.8794,8.0
166.9138,6.0
167.5907,9.0
167.6394,8.0
167.7378,10.0
167.7647,10.0
168.3762,7.0
168.4033,8.0
169.1477,8.0
169.1477,8.0
169.6614,4.0
170.7113,8.0
170.979,9.0
171.0707,6.0
171.2039,6.0
171.373,5.0
171.464,8.0
171.4719,8.0
171.5094,8.0
171.53,8.0
174.5726,15.0
174.5897,12.0
175.1289,7.0
175.1994,7.0
178.6708,14.0
179.9025,10.0
179.9207,10.0
180.5173,8.0
180.7896,6.0
182.1545,10.0
182.4503,8.0
182.7276,8.0
182.7276,8.0
182.9362,12.0
183.3649,6.0
183.5906,9.0
188.2159,8.0
188.24,9.0
188.435,9.0
188.5246,8.0
188.6652,6.0
188.9246,5.0
189.3789,8.0
195.7441,10.0
195.8122,8.0
196.0265,10.0
196.221,15.0
196.3793,12.0
196.4269,10.0
201.6589,10.0
202.034,12.0
202.1445,10.0
202.2768,10.0
202.3332,10.0
202.5694,5.0
202.7103,10.0
202.7603,10.0
207.2601,5.0
207.4104,8.0
207.5058,8.0
207.5169,12.0
209.2876,10.0
209.988,8.0
210.0069,7.0
210.0069,7.0
210.0664,8.0
210.1283,12.0
210.2325,6.0
210.4133,6.0
212.3202,8.0
213.1818,12.0
213.1997,10.0
214.8222,1.0
214.8222,1.0
218.258,4.0
219.0481,4.0
219.5464,3.0
221.5701,1.0
221.8679,1.0
224.9719,1.0
225.2746,7.0
225.9625,3.0
226.2685,1.0
228.3447,8.0
228.4836,9.0
229.0839,14.0
229.3301,15.0
230.0331,17.0
230.2808,14.0
230.7721,5.0
230.7721,5.0
231.3077,8.0
231.3077,8.0
231.6139,9.0
231.6765,9.0
231.6765,9.0
231.9687,11.0
232.2142,9.0
232.4797,3.0
232.5918,6.0
232.7938,7.0
233.9302,6.0
236.5138,9.0
237.5731,11.0
239.8902,2.0
239.9189,7.0
240.2356,3.0
240.6391,14.0
240.747,13.0
241.1622,7.0
241.1622,7.0
241.5121,6.0
241.8459,14.0
242.5564,15.0
243.1652,5.0
243.3534,20.0
243.5189,2.0
243.6051,14.0
243.8066,2.0
244.1626,8.0
