wavelength,relint
26.448,110.0
26.697,110.0
26.698,150.0
26.703,150.0
27.738,150.0
29.562,80.0
29.566,110.0
29.572,120.0
30.341,150.0
30.346,150.0
30.352,140.0
30.362,160.0
30.369,160.0
30.38,250.0
30.56,200.0
30.566,250.0
30.57,190.0
30.577,300.0
30.584,190.0
32.0979,450.0
32.845,300.0
32.874,250.0
34.531,300.0
35.514,110.0
35.533,90.0
35.547,80.0
35.902,200.0
35.922,190.0
35.938,150.0
37.38,210.0
37.4,200.0
37.408,300.0
37.416,190.0
37.433,200.0
37.444,210.0
39.5558,450.0
43.498,300.0
50.7391,800.0
50.7683,900.0
50.8182,1000.0
52.5795,1000.0
59.7818,700.0
59.9598,1000.0
60.97,110.0
61.004,160.0
61.075,200.0
61.085,100.0
70.2332,800.0
70.2822,800.0
70.2899,900.0
70.2899,900.0
70.385,1000.0
70.385,1000.0
83.2927,600.0
83.3742,780.0
83.5096,600.0
83.5292,800.0
147.689,160.0
159.001,285.0
159.133,160.0
176.012,220.0
176.042,110.0
176.322,220.0
176.448,220.0
176.778,750.0
176.824,550.0
177.167,360.0
177.3,110.0
177.385,110.0
177.916,220.0
178.103,160.0
178.485,160.0
178.966,220.0
184.826,110.0
185.662,110.0
187.278,285.0
187.287,285.0
187.494,285.0
192.004,160.0
192.075,110.0
192.152,110.0
192.349,220.0
192.382,110.0
192.694,110.0
201.327,360.0
202.696,160.0
204.567,220.0
205.274,160.0
239.433,80.0
242.284,80.0
245.499,200.0
255.806,200.0
268.753,80.0
269.549,110.0
295.968,80.0
298.378,250.0
301.763,80.0
302.345,80.0
304.302,80.0
304.713,200.0
305.93,110.0
312.171,80.0
313.286,110.0
323.857,80.0
326.098,200.0
326.546,300.0
326.731,80.0
331.23,80.0
334.074,110.0
344.41,80.0
345.512,80.0
369.87,80.0
370.275,80.0
370.337,80.0
370.724,110.0
371.508,110.0
374.4,110.0
375.467,150.0
375.721,80.0
375.987,250.0
379.126,110.0
396.159,200.0
559.237,110.0
