wavelength,relint
12.4616,80.0
13.5523,110.0
13.8109,80.0
13.8109,80.0
13.8109,80.0
13.9029,110.0
15.1447,80.0
15.1477,110.0
15.1477,110.0
15.1546,150.0
15.1546,150.0
15.1546,150.0
16.4574,80.0
16.4657,110.0
16.4657,110.0
16.4709,80.0
16.6235,80.0
16.799,150.0
16.799,150.0
17.0219,110.0
17.2169,450.0
18.5745,250.0
19.2751,375.0
19.2799,450.0
19.2799,450.0
19.2906,520.0
19.3003,80.0
19.4593,200.0
20.2161,80.0
20.2224,80.0
20.2283,80.0
20.2334,80.0
20.2393,150.0
20.378,110.0
20.382,150.0
20.385,100.0
20.389,200.0
20.394,100.0
20.7794,300.0
21.504,150.0
21.5103,200.0
21.5245,250.0
21.6018,250.0
22.0352,520.0
22.7372,80.0
22.7469,80.0
22.7511,150.0
22.7549,80.0
22.7634,80.0
22.7689,80.0
23.1823,150.0
24.8459,110.0
28.6448,110.0
62.973,1000.0
68.1272,230.0
75.8678,700.0
75.9441,640.0
76.0228,580.0
76.0445,775.0
76.1128,640.0
76.2003,700.0
77.4518,520.0
137.1292,640.0
170.7996,160.0
278.101,1000.0
278.699,920.0
278.985,775.0
294.133,200.0
294.165,210.0
314.466,160.0
412.399,100.0
559.791,130.0
650.024,130.0
