wavelength,relint
203.60291,0.0
203.68215,4.0
204.09868,0.0
204.31073,5.0
205.00592,5.0
205.67711,0.0
205.93997,4.0
206.05923,5.0
206.17054,6.0
206.28734,4.0
206.29143,4.0
206.59877,7.0
206.66438,4.0
206.98398,1.0
207.21857,2.0
207.21857,2.0
211.38076,0.0
211.85342,5.0
212.19432,6.0
212.35489,10.0
213.94896,8.0
214.21292,9.0
214.36167,10.0
214.7304,0.0
215.21236,0.0
221.1381,0.0
221.97356,5.0
222.14474,9.0
222.31845,8.0
222.51111,10.0
222.67851,8.0
222.97246,8.0
222.98793,0.0
223.02191,10.0
223.04709,10.0
223.38016,9.0
223.8221,6.0
223.8743,10.0
224.4675,7.0
226.178,1.0
226.4016,12.0
226.6148,0.0
226.7367,6.0
226.7545,13.0
226.7914,10.0
226.8751,9.0
227.2612,13.0
227.2773,5.0
227.2927,1.0
227.3279,14.0
227.6702,14.0
227.8747,6.0
227.9967,15.0
229.3747,8.0
229.4205,8.0
229.9858,14.0
230.2736,14.0
230.5674,15.0
230.8898,7.0
231.4292,6.0
232.8798,0.0
236.5034,0.0
236.9282,4.0
237.1959,7.0
237.2256,4.0
237.3522,4.0
237.4592,6.0
237.815,8.0
238.0814,7.0
238.4517,10.0
239.0725,0.0
239.4665,0.0
239.7046,1.0
239.9371,0.0
239.9554,6.0
240.3987,0.0
240.43831,10.0
240.4543,1.0
240.48327,6.0
240.48508,6.0
240.53443,15.0
240.55396,5.0
240.65424,5.0
240.88399,6.0
240.9272,0.0
240.95719,5.0
241.1369,7.0
241.1568,4.0
241.15937,10.0
241.3864,0.0
241.47703,9.0
241.5685,0.0
241.8362,12.0
242.6562,0.0
242.8214,10.0
242.8355,8.0
243.1783,4.0
243.3218,11.0
243.408,8.0
243.829,6.0
244.098,12.0
244.6122,7.0
244.7585,0.0
245.7826,5.0
245.8037,4.0
245.9089,3.0
245.9652,8.0
246.1879,4.0
246.3045,4.0
246.4979,6.0
246.5467,5.0
246.8366,6.0
246.8564,2.0
247.0996,6.0
250.451,7.0
251.7155,1.0
251.9025,10.0
252.7985,10.0
252.9871,5.0
255.6445,3.0
255.7054,6.0
255.8236,4.0
257.8883,3.0
258.3221,5.0
258.6277,4.0
259.0255,8.0
259.364,11.0
259.4628,2.0
259.6584,11.0
260.4891,6.0
260.5133,15.0
261.1285,15.0
261.1469,11.0
261.9802,5.0
261.9934,13.0
263.1525,14.0
263.2411,14.0
263.6164,0.0
264.1087,15.0
264.2275,3.0
264.2442,0.0
264.3853,3.0
264.4253,15.0
264.5376,5.0
264.6493,4.0
264.6625,15.0
264.8554,3.0
264.8642,5.0
264.9296,6.0
264.9584,7.0
264.9742,5.0
265.114,2.0
265.2753,2.0
265.2978,8.0
265.4152,2.0
265.4921,8.0
265.6361,5.0
265.6902,3.0
265.694,3.0
265.9905,1.0
266.0636,6.0
266.1959,14.0
266.2929,0.0
266.3569,2.0
266.4865,0.0
266.6967,0.0
266.8324,3.0
266.9262,5.0
266.9587,14.0
267.408,6.0
267.6073,3.0
267.8354,3.0
