wavelength,relint
179.742748,18.0
180.70033,18.0
182.11612,13.0
182.93595,5.0
183.03197,6.0
183.24865,5.0
183.33669,9.0
183.40999,5.0
183.54909,18.0
183.85287,5.0
185.84529,5.0
186.268162,29.0
186.80781,8.0
187.17531,6.0
187.26825,10.0
187.34559,4.0
187.43659,5.0
187.50756,9.0
187.61422,4.0
187.63516,5.0
187.77153,8.0
187.92848,7.0
188.04175,7.0
188.35864,10.0
188.62115,13.0
188.68968,6.0
189.14016,13.0
189.74212,145.0
190.03666,14.0
190.550462,67.0
190.57819,10.0
190.644364,130.0
190.820846,112.0
190.920643,74.0
190.966217,81.0
191.061227,45.0
191.09538,67.0
191.161477,82.0
191.401524,36.0
191.43969,13.0
192.15252,8.0
192.16801,8.0
192.20256,10.0
192.46993,15.0
192.47157,5.0
192.51178,10.0
192.65026,4.0
192.73306,13.0
193.00528,7.0
194.21752,5.0
197.123491,29.0
197.32663,5.0
197.44106,16.0
197.458196,42.0
197.561838,23.0
198.5685,9.0
198.60935,4.0
198.76103,5.0
199.99674,5.0
199.99049,8.0
201.2069,8.0
201.2721,2.0
202.15011,104.0
202.292141,58.0
203.24549,13.0
204.06193,20.0
204.146883,24.0
204.974782,28.0
205.032095,152.0
205.14445,4.0
205.264881,24.0
205.412893,89.0
205.453333,36.0
205.662442,235.0
205.857696,182.0
206.84504,18.0
209.5845,8.0
209.61411,13.0
210.43784,3.0
210.48373,8.0
210.83241,21.0
211.00597,8.0
211.534147,25.0
212.0434,4.0
213.01451,5.0
213.21821,7.0
213.312451,35.0
213.33703,13.0
213.48283,7.0
213.57141,15.0
213.756482,59.0
213.78629,27.0
213.835949,54.0
213.9228,7.0
214.28727,15.0
214.90159,9.0
214.983319,40.0
215.471045,131.0
215.480679,27.0
215.559406,134.0
215.680536,26.0
215.828768,44.0
215.908645,324.0
215.950192,133.0
216.06043,4.0
216.12369,7.0
216.17282,7.0
216.267842,146.0
216.47229,5.0
216.94034,8.0
217.16966,14.0
217.34035,5.0
218.67536,8.0
218.751622,1270.0
219.014713,790.0
219.33257,10.0
219.55225,17.0
220.132613,60.0
220.36734,21.0
220.38978,4.0
220.42547,4.0
220.51894,18.0
220.5471,10.0
221.01578,5.0
221.193719,23.0
221.47111,3.0
221.95282,13.0
222.713878,139.0
222.88159,18.0
222.92391,19.0
223.091887,227.0
223.838959,68.0
224.0573,11.0
225.006765,670.0
225.326385,360.0
225.96466,10.0
226.118976,416.0
226.16071,11.0
226.50981,34.0
226.911243,251.0
228.10278,8.0
228.21332,14.0
228.48196,6.0
228.536381,35.0
228.5552,4.0
228.610532,69.0
228.61816,9.0
228.71737,11.0
228.74479,12.0
228.89791,6.0
229.03972,7.0
229.17536,4.0
229.18545,5.0
229.35887,5.0
230.10679,5.0
230.25287,15.0
232.50623,7.0
233.451415,46.0
233.74747,18.0
234.11972,32.0
234.227594,61.0
234.61205,6.0
234.63638,12.0
234.74436,14.0
234.81954,19.0
234.84064,11.0
234.994769,29.0
235.06386,19.0
235.40859,18.0
235.46045,9.0
235.51529,10.0
235.78181,10.0
235.94537,4.0
236.265648,49.0
236.78795,22.0
237.106521,30.0
237.43892,23.0
237.7107,8.0
237.76325,6.0
237.806382,29.0
238.8681,13.0
238.93226,14.0
239.84683,8.0
239.88076,7.0
240.211648,47.0
240.72683,22.0
241.077268,97.0
241.74954,23.0
242.365846,67.0
242.70366,8.0
244.01647,47.0
244.78979,6.0
245.04347,73.0
246.064722,145.0
246.52485,4.0
246.797731,73.0
247.29408,4.0
247.41947,17.0
247.64931,4.0
247.72028,14.0
247.86965,10.0
247.926742,41.0
247.999433,51.0
248.21146,9.0
248.99345,15.0
249.1845,10.0
249.68463,18.0
249.89511,21.0
251.08901,9.0
251.743134,160.0
251.9327,3.0
251.98049,12.0
252.27394,24.0
252.437668,46.0
252.4576,10.0
252.46389,206.0
252.560296,1350.0
252.76526,12.0
252.974777,154.0
253.125172,930.0
253.3899,3.0
253.461943,610.0
253.587016,384.0
253.679,9.0
254.27755,110.0
254.36196,8.0
254.67884,12.0
254.863728,93.0
254.91163,10.0
255.11465,14.0
255.48892,4.0
255.57132,5.0
255.598697,355.0
255.598697,355.0
255.706008,76.0
255.98753,15.0
256.41688,8.0
256.439948,246.0
256.72163,12.0
256.85322,14.0
256.896791,29.0
257.103223,274.0
257.264652,62.0
257.364972,332.0
257.3692,12.0
257.49096,17.0
257.52155,4.0
257.78352,24.0
257.93024,10.0
258.171126,50.0
258.29374,30.0
258.88167,4.0
259.11624,28.0
259.153,8.0
259.153,8.0
259.260496,458.0
259.53058,34.0
259.61026,13.0
259.918453,69.0
259.96489,64.0
260.40966,18.0
260.4519,31.0
260.811178,252.0
261.20243,22.0
261.26246,13.0
261.27324,39.0
261.3634,3.0
261.66829,24.0
261.74337,29.0
262.04407,16.0
262.12528,97.0
262.17362,4.0
262.26864,7.0
262.305667,49.0
262.53889,16.0
262.62046,14.0
262.65285,6.0
262.865689,129.0
263.008367,124.0
263.124145,179.0
263.280688,151.0
263.544755,469.0
263.702355,61.0
263.856431,790.0
263.89825,5.0
264.202701,1290.0
264.396273,118.0
264.586522,2180.0
264.607414,425.0
264.94101,204.0
264.991697,113.0
265.074739,213.0
265.517712,178.0
265.60155,4.0
266.0187,3.0
266.14864,10.0
266.38764,15.0
266.41698,10.0
266.7548,5.0
266.86341,28.0
267.23984,14.0
267.25776,4.0
267.61668,15.0
267.68098,16.0
267.725327,53.0
267.82117,5.0
267.82454,35.0
268.093097,184.0
268.12938,20.0
268.196176,54.0
269.02994,10.0
269.048154,61.0
269.5341,27.0
269.59754,4.0
269.810719,86.0
269.834833,251.0
269.844543,214.0
270.09737,15.0
270.12181,25.0
270.13756,5.0
270.146898,52.0
270.2295,10.0
270.251036,183.0
270.396,8.0
270.69612,6.0
270.70409,8.0
270.727635,46.0
271.3758,7.0
271.40565,8.0
271.5029,7.0
271.624763,72.0
271.7297,34.0
271.78424,111.0
271.94032,34.0
272.04358,11.0
272.20653,23.0
272.33276,5.0
272.5181,3.0
272.57729,31.0
