wavelength,relint
86.579,0.0
100.2371,1.0
100.4669,5.0
100.5797,1.0
100.7163,4.0
100.8119,2.0
107.7236,0.0
108.1204,0.0
110.4225,0.0
123.5461,2.0
123.7028,0.0
128.2484,6.0
128.6228,6.0
128.6365,15.0
128.9299,10.0
129.1622,10.0
129.3228,10.0
129.4698,15.0
129.4698,15.0
129.5883,10.0
129.8659,20.0
129.8659,20.0
129.897,20.0
132.7592,12.0
132.9837,4.0
133.9691,5.0
136.5021,0.0
136.8442,2.0
137.996,2.0
142.0036,10.0
142.044,10.0
142.1631,10.0
142.1767,10.0
142.2405,12.0
142.414,10.0
145.0358,3.0
145.5194,23.0
145.5734,1.0
149.1978,3.0
149.6597,2.0
149.8697,10.0
149.9173,7.0
150.2311,4.0
150.4621,3.0
150.4974,2.0
150.6084,3.0
194.8508,5.0
200.736,4.0
200.7604,2.0
201.08,6.0
209.7299,9.0
209.9862,7.0
210.36,5.0
210.4857,4.0
210.5092,5.0
212.958,1.0
213.89,1.0
219.239,3.0
219.36,2.0
219.9223,10.0
222.559,4.0
223.69,3.0
223.7773,12.0
223.962,1.0
232.7019,10.0
233.1352,15.0
233.166,15.0
233.434,15.0
233.9,17.0
234.6786,18.0
237.4986,18.0
241.3989,22.0
251.6053,25.0
252.784,24.0
254.0057,23.0
254.2444,8.0
254.801,4.0
254.8588,6.0
254.8765,5.0
255.6567,5.0
256.3436,24.0
256.5423,23.0
256.7556,22.0
257.647,15.0
258.0456,15.0
269.2158,10.0
270.1956,12.0
277.372,4.0
279.872,5.0
279.891,8.0
281.8992,8.0
282.078,1.0
282.445,3.0
284.726,1.0
288.814,1.0
293.049,2.0
298.4747,22.0
315.0317,2.0
315.4518,3.0
316.7828,4.0
318.4839,9.0
319.058,3.0
319.3771,5.0
320.0888,3.0
322.8887,5.0
323.0047,4.0
323.5282,4.0
323.977,3.0
324.071,1.0
324.5589,3.0
324.6628,7.0
325.4881,2.0
326.3426,1.0
327.8754,2.0
329.5764,3.0
331.0904,6.0
331.3008,7.0
331.5742,1.0
332.0943,7.0
333.1105,6.0
333.2252,7.0
333.3457,3.0
334.0202,7.0
334.6182,9.0
335.7922,6.0
335.8101,3.0
337.0625,7.0
337.1623,9.0
337.6007,1.0
337.7686,4.0
337.7896,2.0
338.2714,1.0
339.0222,2.0
339.2945,5.0
339.5387,1.0
339.5981,3.0
339.6432,5.0
339.7235,5.0
340.0891,2.0
340.4462,7.0
341.7621,9.0
342.1161,1.0
348.7669,3.0
348.8773,1.0
357.67,3.0
377.9793,3.0
381.6178,6.0
382.8735,5.0
383.642,2.0
384.9043,6.0
387.2495,12.0
387.3491,2.0
388.1212,12.0
389.3629,12.0
389.633,10.0
389.725,8.0
391.5253,8.0
391.5472,15.0
392.1384,12.0
392.1611,10.0
392.2953,12.0
392.4092,3.0
392.486,10.0
393.8456,3.0
394.057,2.0
394.3559,8.0
394.6843,3.0
394.8365,6.0
397.0204,2.0
398.64,8.0
399.5525,4.0
401.1047,3.0
401.2631,3.0
404.7538,2.0
406.0208,10.0
406.6169,3.0
406.9538,9.0
406.9538,9.0
406.9992,5.0
407.9958,8.0
409.8879,3.0
410.005,7.0
411.914,10.0
413.9424,6.0
414.4772,3.0
414.505,3.0
415.667,2.0
416.042,1.0
416.5721,3.0
417.654,3.0
418.002,2.0
418.022,2.0
418.358,1.0
419.1091,7.0
419.2141,3.0
420.0061,9.0
420.1662,5.0
420.341,6.0
420.341,6.0
420.4916,9.0
420.7491,9.0
421.0133,4.0
421.247,2.0
421.295,1.0
421.3257,9.0
421.429,1.0
421.4923,7.0
421.5525,11.0
421.595,7.0
421.8518,4.0
422.0282,4.0
422.1357,4.0
422.298,3.0
422.4127,3.0
422.4575,4.0
423.107,7.0
423.4415,5.0
424.129,1.0
424.129,1.0
424.389,3.0
424.389,3.0
424.685,0.0
424.7147,7.0
424.7615,4.0
424.854,8.0
425.0086,3.0
425.2121,7.0
425.4114,5.0
425.7045,3.0
425.8472,7.0
425.9009,6.0
426.0763,4.0
426.1904,6.0
426.2441,6.0
426.293,0.0
426.984,11.0
427.095,1.0
427.186,3.0
427.5528,4.0
427.5823,2.0
427.635,1.0
428.1563,7.0
428.409,4.0
428.467,1.0
428.561,9.0
428.6516,5.0
428.866,8.0
428.925,3.0
429.1925,5.0
429.334,3.0
429.503,1.0
429.503,1.0
429.542,8.0
429.6702,11.0
430.4505,9.0
430.839,2.0
430.94,1.0
431.0481,4.0
431.2163,4.0
431.798,1.0
431.844,0.0
431.9561,5.0
432.191,1.0
432.593,2.0
432.6824,5.0
432.6824,5.0
432.762,7.0
432.762,7.0
432.825,2.0
432.9496,4.0
433.3542,7.0
433.581,3.0
433.822,1.0
433.8712,3.0
433.8712,3.0
434.3246,3.0
434.804,10.0
434.84,3.0
435.2282,8.0
435.727,2.0
435.889,1.0
436.115,2.0
436.234,1.0
436.374,6.0
436.374,6.0
436.533,4.0
436.533,4.0
436.856,2.0
437.693,2.0
437.777,2.0
437.808,1.0
437.8938,7.0
438.0734,7.0
439.8729,4.0
440.057,4.0
440.253,1.0
440.6197,4.0
440.731,2.0
441.4489,6.0
442.4399,9.0
442.8298,8.0
442.8298,8.0
443.0635,2.0
443.3912,11.0
443.923,2.0
444.0657,4.0
444.225,3.0
444.6559,5.0
446.2558,4.0
446.6078,3.0
446.6693,1.0
447.9969,6.0
448.0359,3.0
449.651,4.0
450.7112,5.0
451.1579,4.0
451.4697,4.0
451.8363,3.0
451.942,2.0
452.0375,6.0
452.1146,2.0
454.0216,10.0
454.4314,2.0
454.5976,4.0
454.9842,15.0
455.5777,6.0
457.285,1.0
457.6532,9.0
457.8521,7.0
457.9642,6.0
458.173,8.0
460.151,0.0
460.9506,5.0
461.0477,8.0
461.1041,3.0
461.5931,9.0
461.9782,6.0
462.8067,6.0
463.4166,8.0
464.9,3.0
464.9452,10.0
465.2861,12.0
466.3462,5.0
467.1816,8.0
467.3396,8.0
468.058,4.0
469.544,4.0
470.159,3.0
470.318,3.0
471.898,0.0
472.09,3.0
476.011,3.0
476.358,6.0
476.736,0.0
476.829,2.0
477.146,6.0
477.435,1.0
478.409,2.0
479.1035,8.0
479.317,3.0
479.3503,3.0
480.0273,4.0
480.232,1.0
481.061,1.0
482.18,3.0
482.4531,4.0
483.133,3.0
483.825,1.0
484.9658,7.0
485.449,1.0
485.622,2.0
