wavelength,relint
77.6762,10.0
77.9074,18.0
78.173,16.0
118.3635,8.0
119.5208,10.0
145.1736,18.0
146.7338,20.0
146.9188,12.0
206.7564,20.0
210.3106,18.0
235.9142,10.0
235.9499,10.0
254.1786,8.0
254.688,10.0
254.7314,2.0
268.832,0.0
268.939,1.0
283.6972,3.0
286.2596,5.0
288.936,4.0
292.9961,6.0
293.7328,14.0
295.7306,12.0
315.6718,1.0
317.0955,2.0
327.25,0.0
327.2773,1.0
354.1361,15.0
357.6438,17.0
358.1392,10.0
396.6156,2.0
413.1215,13.0
413.3779,14.0
439.592,5.0
439.7327,10.0
440.3451,9.0
461.8114,15.0
461.8114,15.0
461.8114,15.0
467.758,3.0
467.758,3.0
467.758,3.0
539.893,20.0
547.098,8.0
549.251,18.0
551.772,10.0
587.779,14.0
588.596,15.0
589.115,7.0
623.162,6.0
624.665,17.0
624.774,11.0
626.286,3.0
629.241,15.0
691.385,12.0
696.854,1.0
697.851,15.0
698.874,4.0
748.307,1.0
749.137,9.0
749.477,8.0
765.212,5.0
765.212,5.0
765.212,5.0
770.685,8.0
770.685,8.0
770.685,8.0
