wavelength,relint
10.3059,0.0
10.6154,3.0
10.6308,0.0
10.8443,6.0
10.8611,0.0
11.2495,11.0
11.2896,0.0
12.0824,12.0
12.1138,2.0
14.4551,12.0
14.5354,6.0
14.6897,1.0
16.2984,4.0
16.4446,5.0
22.5347,12.0
22.8909,10.0
25.2958,17.0
32.3365,7.0
36.3145,0.0
44.4643,2.0
44.6493,1.0
44.8822,3.0
44.9063,3.0
45.0397,4.0
45.3006,5.0
45.5419,1.0
45.7321,1.0
45.8861,2.0
46.1414,7.0
46.2565,3.0
46.2982,3.0
46.4562,5.0
46.6224,4.0
46.6749,1.0
46.8257,3.0
46.9808,6.0
47.4124,2.0
47.469,8.0
47.8455,3.0
48.1818,5.0
48.3992,8.0
48.5175,3.0
48.7115,4.0
48.7845,4.0
48.8582,10.0
49.1358,1.0
49.1981,0.0
49.3783,6.0
49.3783,6.0
49.805,0.0
49.826,15.0
50.1631,2.0
50.2077,14.0
50.2711,7.0
50.3031,3.0
50.4665,12.0
50.6468,7.0
50.7683,6.0
51.3374,8.0
51.9575,1.0
52.305,7.0
52.4578,12.0
52.6076,6.0
52.6266,6.0
52.657,13.0
52.9315,8.0
53.0167,1.0
53.2935,0.0
53.3457,1.0
53.4297,0.0
53.5836,10.0
53.5888,10.0
53.6406,4.0
53.8511,0.0
54.0145,8.0
54.1181,3.0
54.1459,8.0
54.1711,9.0
54.3103,7.0
54.3339,7.0
54.3858,0.0
54.6062,5.0
54.7642,3.0
54.8533,4.0
54.9083,6.0
55.3122,1.0
55.5164,5.0
55.6562,0.0
56.0056,0.0
56.5627,3.0
57.1095,2.0
57.9518,0.0
79.9714,1.0
83.4199,1.0
83.8315,3.0
83.9926,2.0
85.7136,0.0
85.8073,1.0
86.2786,0.0
86.5806,1.0
87.1085,1.0
87.3618,1.0
87.5489,0.0
88.4982,1.0
90.1692,1.0
92.8507,0.0
98.453,0.0
103.9125,0.0
109.4583,3.0
109.4583,3.0
109.7585,0.0
111.3952,4.0
112.3288,1.0
112.8546,7.0
113.2237,5.0
113.605,1.0
113.9275,1.0
114.5256,5.0
114.7571,0.0
115.3274,5.0
115.3274,5.0
116.352,4.0
116.4634,0.0
116.8043,4.0
116.8927,3.0
117.234,0.0
117.7719,4.0
118.1192,2.0
118.1192,2.0
118.8796,3.0
119.1195,5.0
119.2353,8.0
119.7598,4.0
119.8659,9.0
120.3011,4.0
121.5373,4.0
121.7779,3.0
122.2359,9.0
122.6588,0.0
123.0361,10.0
123.9958,11.0
123.9958,11.0
124.1671,10.0
124.1671,10.0
124.6131,7.0
125.3079,0.0
125.7442,3.0
126.4659,5.0
126.849,8.0
128.3463,0.0
128.6036,2.0
129.371,1.0
130.6108,8.0
132.6279,0.0
132.8572,4.0
135.6724,0.0
136.7797,2.0
137.8552,6.0
140.3562,1.0
140.5911,2.0
141.1309,8.0
142.9222,2.0
144.1713,4.0
146.0723,2.0
146.5683,6.0
153.8546,5.0
156.9423,5.0
159.8697,1.0
160.0353,0.0
160.0726,5.0
163.0613,5.0
163.378,6.0
167.515,9.0
168.7165,8.0
169.6031,3.0
171.7396,11.0
174.7639,4.0
174.8671,3.0
175.9757,8.0
177.1452,7.0
179.9082,6.0
182.7899,6.0
182.8292,6.0
183.1875,2.0
183.7436,3.0
184.149,10.0
185.5765,3.0
186.4451,7.0
187.8458,2.0
188.1886,7.0
192.0163,7.0
194.6434,4.0
198.875,7.0
201.7614,1.0
204.5858,4.0
209.8042,4.0
221.474,5.0
238.4634,2.0
