wavelength,relint
12.5689,2.0
12.633,1.0
12.845,0.0
12.9148,1.0
12.9249,2.0
13.6714,2.0
13.7813,1.0
13.9911,1.0
14.1061,1.0
14.1113,3.0
14.1988,1.0
14.3176,0.0
14.8104,1.0
14.8303,4.0
14.901,4.0
14.9392,3.0
15.0213,1.0
15.0315,1.0
15.1897,0.0
15.2338,3.0
15.296,3.0
15.3255,1.0
15.3384,1.0
15.355,5.0
15.4161,0.0
15.4768,2.0
18.2151,7.0
18.4106,5.0
19.2705,1.0
19.2754,10.0
19.49,9.0
19.746,9.0
19.8977,12.0
19.9759,9.0
20.1311,7.0
20.1865,8.0
20.32,2.0
20.3434,1.0
24.745,10.0
25.0482,18.0
25.1071,15.0
25.5375,11.0
25.7855,10.0
25.9232,10.0
26.3246,10.0
26.7343,9.0
28.2215,0.0
28.3586,4.0
28.8355,6.0
30.1913,4.0
33.0703,6.0
33.1767,2.0
33.4457,4.0
34.1109,4.0
34.2595,5.0
34.6728,0.0
34.9574,2.0
35.3877,2.0
50.8575,18.0
52.4113,17.0
