wavelength,relint
12.825,0.0
12.9603,0.0
12.9722,1.0
13.2093,0.0
13.2149,1.0
13.2322,0.0
13.2351,0.0
13.2522,2.0
13.2733,3.0
13.2982,0.0
13.3633,1.0
13.5801,4.0
13.6267,2.0
13.6815,1.0
13.7661,4.0
16.4173,3.0
16.4478,1.0
16.5403,2.0
16.5716,0.0
16.5836,1.0
16.6087,3.0
16.9301,4.0
17.0358,8.0
17.0559,4.0
17.0938,1.0
17.1888,4.0
17.1952,2.0
17.2353,2.0
17.5812,7.0
17.7238,6.0
17.8572,3.0
17.8673,4.0
17.9107,3.0
24.8037,1.0
25.2162,9.0
25.2275,16.0
25.2571,6.0
25.3811,9.0
25.4687,9.0
25.5076,10.0
26.0704,10.0
26.1851,6.0
26.3944,5.0
26.4823,10.0
26.4997,5.0
26.5059,7.0
26.5951,6.0
26.6502,9.0
26.7136,6.0
26.8035,9.0
26.8106,5.0
26.8493,0.0
26.9759,7.0
27.0748,3.0
27.9516,9.0
28.1898,9.0
28.2898,0.0
29.6056,5.0
30.573,0.0
33.2081,2.0
44.0361,8.0
49.9853,8.0
50.5899,8.0
50.9127,2.0
50.9511,14.0
51.1442,8.0
51.5008,8.0
52.1561,10.0
