wavelength,relint
1.7727,2.0
1.7869,1.0
1.9204,5.0
1.9366,4.0
1.9943,1.0
2.0135,1.0
2.1035,7.0
2.1127,2.0
7.4108,2.0
7.9004,1.0
7.9235,1.0
8.0502,3.0
8.061,3.0
8.0927,10.0
8.1153,3.0
8.1258,5.0
8.1322,2.0
8.1611,10.0
9.4788,2.0
9.6429,1.0
9.7358,2.0
9.7758,5.0
9.849,10.0
9.9074,30.0
9.9572,50.0
9.9572,50.0
9.9834,15.0
10.0133,25.0
10.02,15.0
10.0753,20.0
10.2964,7.0
10.4593,2.0
33.6029,32.0
34.384,23.0
34.6163,18.0
35.9311,109.0
36.286,49.0
36.574,91.0
36.6569,70.0
36.691,40.0
36.761,7.0
36.937,144.0
36.9531,144.0
39.216,39.0
43.7212,48.0
45.5355,16.0
47.2088,36.0
47.445,106.0
47.4611,106.0
47.87,23.0
48.5623,11.0
49.251,6.0
49.623,15.0
50.618,10.0
50.764,28.0
55.16,14.0
