wavelength,relint
2.1304,6.0
2.1341,40.0
2.1522,50.0
2.1657,70.0
2.1732,70.0
2.182,60.0
2.1883,70.0
2.1958,50.0
2.2066,60.0
2.2099,20.0
2.2162,30.0
2.219,30.0
2.2215,30.0
2.2248,10.0
2.2279,40.0
2.2279,40.0
2.2328,30.0
2.2328,30.0
2.2426,40.0
2.2486,15.0
2.2518,20.0
2.396,20.0
2.4315,60.0
2.4592,75.0
2.4592,75.0
2.4728,70.0
2.4891,60.0
2.4907,70.0
2.5025,50.0
2.5025,50.0
2.5071,4.0
2.5086,20.0
2.5206,6.0
2.526,30.0
12.1986,10000.0
12.944,8000.0
37.33,17.0
37.603,50.0
38.07,120.0
38.17,30.0
38.233,130.0
38.312,20.0
38.542,300.0
38.701,110.0
38.87,160.0
38.936,45.0
39.237,85.0
39.487,300.0
39.742,25.0
40.107,280.0
40.27,9.0
40.451,30.0
42.516,30.0
42.711,70.0
43.349,25.0
44.456,9.0
45.0,120.0
45.074,6.0
45.161,6.0
45.243,50.0
46.037,90.0
46.467,35.0
46.79,13.0
47.164,10.0
49.632,180.0
49.692,40.0
49.856,30.0
50.123,140.0
50.223,45.0
50.423,12.0
51.01,4.0
51.161,100.0
52.51,5.0
52.892,60.0
53.004,60.0
53.328,135.0
53.734,45.0
54.012,45.0
