wavelength,relint
32.02926,10.0
32.02926,10.0
32.02926,10.0
50.561,2.0
50.575,3.0
50.59,4.0
50.631,5.0
50.656,7.0
50.708,10.0
50.771,15.0
50.863,20.0
50.997,25.0
51.207,35.0
51.5596,50.0
52.2186,100.0
53.70293,400.0
58.43339,1000.0
59.14121,50.0
257.76,50.0
267.7135,1.0
267.7135,1.0
267.7135,1.0
269.6119,1.0
269.6119,1.0
269.6119,1.0
272.3191,1.0
272.3191,1.0
272.3191,1.0
281.82,10.0
294.5106,10.0
294.5106,10.0
294.5106,10.0
301.37,40.0
318.7745,20.0
318.7745,20.0
323.1266,0.0
325.8275,1.0
355.4415,1.0
355.4415,1.0
355.4415,1.0
355.4415,1.0
355.4415,1.0
356.2979,0.0
356.2979,0.0
358.727,1.0
358.727,1.0
358.727,1.0
358.727,1.0
358.727,1.0
361.3643,3.0
365.199,1.0
365.199,1.0
370.5005,3.0
370.5005,3.0
370.5005,3.0
370.5005,3.0
370.5005,3.0
381.96074,10.0
381.96074,10.0
381.96074,10.0
381.96074,10.0
381.96074,10.0
383.3554,0.0
387.1791,1.0
388.8648,500.0
388.8648,500.0
393.5912,0.0
396.47291,20.0
402.3973,1.0
402.61914,50.0
402.61914,50.0
402.61914,50.0
402.61914,50.0
402.61914,50.0
412.08154,12.0
412.08154,12.0
414.3761,3.0
416.8967,1.0
438.79296,10.0
443.7551,3.0
447.14802,200.0
447.14802,200.0
447.14802,200.0
447.14802,200.0
447.14802,200.0
471.31457,30.0
471.31457,30.0
492.19313,20.0
501.56783,100.0
504.7738,10.0
587.5621,500.0
587.5621,500.0
587.5621,500.0
587.5621,500.0
667.8151,100.0
706.519,200.0
706.519,200.0
706.571,30.0
728.1349,50.0
921.0337,2.0
921.0337,2.0
921.0337,2.0
921.0337,2.0
921.0337,2.0
921.0337,2.0
952.617,3.0
952.617,3.0
952.617,3.0
952.617,3.0
952.617,3.0
952.617,3.0
952.927,1.0
