wavelength,relint
7.5334,100.0
7.7405,200.0
7.7511,100.0
7.8239,10.0
8.0563,100.0
8.0724,10.0
8.093,200.0
8.1106,300.0
8.2475,100.0
8.2853,100.0
8.3403,400.0
8.3519,300.0
8.4745,200.0
8.5153,10.0
8.5577,200.0
8.5622,300.0
8.6807,200.0
8.7406,10.0
8.8827,200.0
8.8952,200.0
8.9021,10.0
8.9649,10.0
9.2964,100.0
9.3109,100.0
9.3493,300.0
9.6085,100.0
9.6159,100.0
9.624,100.0
9.6256,200.0
9.6303,200.0
9.6388,100.0
9.6467,10.0
9.667,200.0
9.6704,200.0
9.6797,100.0
9.6857,100.0
9.6903,10.0
9.6939,400.0
9.6973,400.0
9.7251,500.0
9.7278,500.0
9.8983,400.0
9.9025,200.0
9.9279,400.0
9.9333,400.0
9.9713,300.0
9.9738,300.0
10.0702,500.0
10.0904,400.0
10.1508,200.0
10.1556,300.0
10.2189,500.0
10.2239,500.0
10.4597,500.0
10.541,200.0
10.5502,300.0
10.5778,100.0
10.782,400.0
10.8015,300.0
10.8114,200.0
10.8148,100.0
10.8338,100.0
10.8441,10.0
11.116,300.0
11.1199,400.0
11.3189,500.0
11.3189,500.0
11.4412,10.0
11.4624,10.0
11.4725,10.0
11.6968,500.0
11.7226,300.0
11.7527,100.0
12.1025,500.0
12.129,300.0
12.359,100.0
12.5206,300.0
12.5459,300.0
12.56,400.0
12.645,100.0
12.6488,100.0
13.0294,200.0
13.063,100.0
13.7814,10.0
26.8984,650.0
27.039,750.0
28.8646,10.0
29.1365,300.0
29.1457,200.0
29.3021,200.0
29.3116,400.0
31.4561,300.0
31.4669,400.0
31.9821,150.0
32.2463,300.0
32.2492,50.0
34.9114,70.0
34.917,100.0
38.779,200.0
38.8016,300.0
43.614,40.0
43.9868,70.0
44.1157,200.0
44.4964,30.0
