wavelength,relint
62.568,100.0
63.071,500.0
63.754,200.0
66.237,200.0
66.357,150.0
67.694,500.0
70.017,200.0
71.333,300.0
71.338,300.0
71.848,500.0
72.126,200.0
72.209,300.0
72.52,250.0
72.982,500.0
73.011,250.0
73.17,400.0
73.216,300.0
73.826,200.0
74.799,300.0
74.968,200.0
75.005,300.0
75.202,200.0
75.78,300.0
75.827,250.0
75.873,250.0
77.022,400.0
77.204,200.0
77.881,500.0
78.804,300.0
78.83,200.0
80.501,200.0
81.157,500.0
82.614,500.0
82.65,200.0
84.214,500.0
84.524,400.0
84.743,300.0
85.709,200.0
86.064,300.0
86.288,300.0
86.322,300.0
86.751,300.0
86.97,200.0
87.084,200.0
97.379,300.0
97.959,400.0
142.887,200.0
143.431,200.0
145.15,200.0
160.454,300.0
165.287,300.0
165.312,200.0
165.613,250.0
166.179,200.0
168.79,400.0
169.251,1000.0
170.735,200.0
170.743,200.0
170.99,800.0
171.53,650.0
171.946,500.0
172.126,200.0
172.228,400.0
173.313,250.0
173.825,500.0
173.978,300.0
174.196,300.0
174.701,550.0
175.243,300.0
175.301,400.0
176.469,800.0
176.794,500.0
176.964,2000.0
177.607,400.0
178.83,200.0
179.04,250.0
179.093,200.0
179.164,200.0
179.49,200.0
180.724,300.0
181.169,200.0
181.928,300.0
182.306,800.0
183.001,400.0
183.008,200.0
184.728,650.0
185.415,800.0
185.875,300.0
193.043,200.0
195.254,200.0
