wavelength,relint
68.5544,70.0
74.4794,70.0
77.0793,70.0
77.1056,90.0
77.5321,70.0
79.1973,70.0
80.4267,90.0
80.4848,70.0
80.5295,70.0
80.581,80.0
87.7879,40.0
92.2008,80.0
93.5193,90.0
94.8686,40.0
94.8686,40.0
94.8686,40.0
97.1738,90.0
97.1738,90.0
97.1738,90.0
97.6448,40.0
98.8773,160.0
99.0204,40.0
102.5762,250.0
102.5762,250.0
102.5762,250.0
102.7431,90.0
102.7431,90.0
103.923,160.0
104.0942,60.0
115.21512,40.0
130.2168,900.0
130.4858,600.0
130.6029,300.0
297.229,265.0
382.341,120.0
394.729,185.0
394.748,160.0
394.759,140.0
395.461,100.0
423.327,80.0
436.825,100.0
532.91,135.0
532.91,135.0
532.968,160.0
533.074,190.0
543.518,90.0
543.578,110.0
543.686,135.0
557.734,120.0
595.839,160.0
595.839,160.0
595.858,190.0
595.858,190.0
595.858,190.0
599.528,80.0
604.623,160.0
604.644,190.0
604.649,110.0
610.627,100.0
615.598,400.0
615.677,450.0
615.818,490.0
625.683,80.0
626.155,100.0
636.634,100.0
637.432,100.0
645.36,320.0
645.444,360.0
645.598,400.0
660.491,80.0
665.383,100.0
700.192,360.0
700.223,450.0
715.67,210.0
725.415,400.0
725.445,450.0
725.453,320.0
747.644,210.0
747.724,100.0
747.908,120.0
748.067,120.0
770.675,100.0
777.194,870.0
777.417,810.0
777.539,750.0
788.627,80.0
794.315,100.0
794.717,100.0
794.755,235.0
795.08,210.0
795.216,185.0
798.194,110.0
798.24,135.0
798.698,190.0
798.733,135.0
799.507,250.0
822.182,400.0
822.765,265.0
823.002,265.0
823.3,325.0
823.535,120.0
842.616,120.0
844.625,810.0
844.636,1000.0
844.676,935.0
882.043,325.0
911.829,120.0
913.471,80.0
915.014,80.0
915.148,80.0
915.601,235.0
926.081,450.0
926.084,490.0
926.094,450.0
926.258,400.0
926.267,540.0
926.277,590.0
926.594,490.0
926.601,640.0
939.919,185.0
948.116,120.0
948.743,235.0
949.271,140.0
949.797,265.0
949.93,160.0
950.559,235.0
952.196,210.0
952.336,120.0
952.396,120.0
952.828,100.0
962.213,100.0
962.529,120.0
967.738,160.0
969.466,80.0
969.491,65.0
974.15,235.0
976.065,235.0
990.905,120.0
993.698,140.0
994.041,120.0
999.531,160.0
